코드,평,전용면적(㎡),층,건축년도,predicted
1126010400,4,12.4,4,2010,"   deposit  pricemon  building        road          dong
0    500.0        40  MAI BAUM  동일로148길 28  서울특별시 중랑구 묵동
1   2000.0        40        성우  동일로151길 11  서울특별시 중랑구 묵동
2   2000.0        40  (171-29)   공릉로2가길 47  서울특별시 중랑구 묵동
3    500.0        30     영림하우스  동일로144길 49  서울특별시 중랑구 묵동
4    500.0        45  (171-29)   공릉로2가길 47  서울특별시 중랑구 묵동"
1126010100,11,37.35,2,1986,"   deposit  pricemon    building          road           dong
0    500.0        30        한양연립  동일로102길 48-2  서울특별시 중랑구 면목동
1   1000.0        35        한양연립   봉우재로20가길 58  서울특별시 중랑구 면목동
2   4500.0        50  현대하이츠빌라(라)     면목로72길 54  서울특별시 중랑구 면목동
3   5000.0        40        현대파크  용마산로86길 9-28  서울특별시 중랑구 면목동
4   4000.0        40        동현빌라   면목로79길 8-30  서울특별시 중랑구 면목동"
1126010100,18,59.25,3,1991,"   deposit  pricemon building          road           dong
0   5000.0        50    훼미리타운  용마산로36길 33-3  서울특별시 중랑구 면목동
1   5000.0        40     현대파크  용마산로86길 9-28  서울특별시 중랑구 면목동
2   1000.0        58     진성빌라    용마산로52길 13  서울특별시 중랑구 면목동
3   4000.0        40     동현빌라   면목로79길 8-30  서울특별시 중랑구 면목동
4   9000.0        40     서로빌라    봉화산로30길 68  서울특별시 중랑구 상봉동"
1126010100,22,71.9,2,2005,"   deposit  pricemon  building          road           dong
0   5000.0        45     삼성아트빌     봉우재로22길 9  서울특별시 중랑구 면목동
1   3000.0        30     지은아트빌     면목로58길 25  서울특별시 중랑구 면목동
2   1000.0        80      고암아트     봉우재로22길 6  서울특별시 중랑구 면목동
3  18000.0        23  트윈스빌(B동)    동일로101길 40  서울특별시 중랑구 면목동
4   4000.0        35     소파빌라트  용마산로93길 31-9  서울특별시 중랑구 면목동"
1126010400,9,29.11,4,2012,"   deposit  pricemon building          road          dong
0   6000.0        50   세종에코그린    동일로149나길 7  서울특별시 중랑구 묵동
1  12000.0        20   은진하우스빌  동일로163길 17-8  서울특별시 중랑구 묵동
2  12000.0        10   은진하우스빌  동일로163길 17-8  서울특별시 중랑구 묵동
3  10000.0        30  천우네오젠1차    중랑역로43길 21  서울특별시 중랑구 묵동
4   3000.0        42   스토리하우스    동일로156길 27  서울특별시 중랑구 묵동"
1126010200,4,12.2,7,2019,"   deposit  pricemon        building           road           dong
0   5000.0        35       동인씨엘로102동     면목로92라길 15  서울특별시 중랑구 상봉동
1   2000.0        50    동일스카이시티 105동      면목로92길 16  서울특별시 중랑구 상봉동
2   4000.0        50    동일스카이시티 105동      면목로92길 16  서울특별시 중랑구 상봉동
3  11000.0        10             공감채  봉우재로33길 63-13  서울특별시 중랑구 상봉동
4  10000.0         5  상봉다온파크(113-13)    면목로95길 11-5  서울특별시 중랑구 상봉동"
1126010100,6,19.47,7,2019,"   deposit  pricemon      building        road           dong
0   7000.0        60        사가정라움빌   면목로42길 27  서울특별시 중랑구 면목동
1    200.0        30       성진듀얼팰리스   겸재로44길 22  서울특별시 중랑구 면목동
2   2000.0        60          포시즌빌  면목로72가길 18  서울특별시 중랑구 면목동
3  15000.0        30            태경  동일로101길 38  서울특별시 중랑구 면목동
4   4000.0        50  동일스카이시티 105동   면목로92길 16  서울특별시 중랑구 상봉동"
1126010300,12,38.64,2,2017,"   deposit  pricemon         building          road           dong
0   3000.0        80        중화동 힐스페이스    봉화산로26길 62  서울특별시 중랑구 중화동
1  12000.0        45          우승파크빌리지    동일로139라길 7  서울특별시 중랑구 중화동
2  15000.0        15             제이드빌  상봉중앙로5길 24-6  서울특별시 중랑구 중화동
3   5000.0        60  세종에코그린(299-102)  동일로121길 68-5  서울특별시 중랑구 중화동
4   5000.0        50           세종에코그린    동일로129길 49  서울특별시 중랑구 중화동"
1126010200,4,13.065,5,2012,"   deposit  pricemon    building          road           dong
0   1300.0        20    (128-77)     망우로36길 13  서울특별시 중랑구 상봉동
1   2000.0        38  Casa Bella   면목로91길 6-11  서울특별시 중랑구 상봉동
2   2000.0        35        우영시티  면목로95길 11-13  서울특별시 중랑구 상봉동
3   1000.0        40  Casa Bella   면목로91길 6-11  서울특별시 중랑구 상봉동
4    500.0        40      레인보우빌Ⅱ    망우로 198-21  서울특별시 중랑구 상봉동"
1126010200,13,42.47,3,2003,"   deposit  pricemon    building        road           dong
0   5000.0        40        동보빌딩  동일로114길 48  서울특별시 중랑구 상봉동
1   6000.0        35        동보빌딩  동일로114길 48  서울특별시 중랑구 상봉동
2   4000.0        45        동보빌딩  동일로114길 48  서울특별시 중랑구 상봉동
3  11000.0        35  풍산쉐르빌 105동  상봉중앙로10길 8  서울특별시 중랑구 상봉동
4   6000.0        40        동보빌딩  동일로114길 48  서울특별시 중랑구 상봉동"
