코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1165010100,16,54.44,2,2008,"   deposit building          road           dong
0  42000.0   베토벤하이츠     효령로29길 42  서울특별시 서초구 방배동
1  28000.0    클래식빌라    동광로3길 71-4  서울특별시 서초구 방배동
2  36000.0      오월愛      동광로1길 43  서울특별시 서초구 방배동
3  36000.0      비전빌  방배천로4길 15-10  서울특별시 서초구 방배동
4  33000.0    덕산그린빌       청두곶9길 4  서울특별시 서초구 방배동",31360
1165010100,10,31.5,1,2007,"   deposit  building         road           dong
0  18000.0    현대힐빌리지  강남대로6길 65-9  서울특별시 서초구 양재동
1  22500.0  (931-23)   서초대로16길 52  서울특별시 서초구 방배동
2  24000.0    에스톤빌3차    방배중앙로 9-5  서울특별시 서초구 방배동
3  10000.0    삼성파크빌라    서초대로 49-7  서울특별시 서초구 방배동
4  14000.0  (857-28)    방배로25길 62  서울특별시 서초구 방배동",18550
1165010800,19,63.575,4,2009,"   deposit    building             road           dong
0  29000.0         이든빌      주흥11길 38-14  서울특별시 서초구 반포동
1  25000.0  (1487-129)         명달로6길 11  서울특별시 서초구 서초동
2  38000.0        유니끄망         동광로41길 8  서울특별시 서초구 반포동
3  38000.0       서초드림빌  남부순환로339길 64-25  서울특별시 서초구 서초동
4  37000.0       정공빌라트      반포대로9길 59-4  서울특별시 서초구 서초동",35503
1165010100,25,81.66,2,1991,"   deposit building          road           dong
0  30000.0   대림맨션빌라     효령로21길 21  서울특별시 서초구 방배동
1  26000.0     서림빌라  서초대로30길 35-9  서울특별시 서초구 방배동
2  45000.0    골든빌리지    동광로7길 62-1  서울특별시 서초구 방배동
3  38000.0     두리빌라     강남대로8길 96  서울특별시 서초구 양재동
4  39000.0  (382-4)     동산로10길 49  서울특별시 서초구 양재동",34990
1165010100,9,28.8,2,2003,"   deposit     building        road           dong
0   9000.0      (474-4)  도구로1길 73-4  서울특별시 서초구 방배동
1  13000.0  드림빌(869-17)   서초대로15길 9  서울특별시 서초구 방배동
2  13000.0  드림빌(869-17)   서초대로15길 9  서울특별시 서초구 방배동
3  16000.0      에이치케이캐슬  방배중앙로 58-7  서울특별시 서초구 방배동
4  17000.0      에이치케이캐슬  방배중앙로 58-7  서울특별시 서초구 방배동",14987
1165010100,14,47.02,3,2014,"   deposit building         road           dong
0  38000.0    더그린방배  방배천로34길 9-5  서울특별시 서초구 방배동
1  48000.0     아르떼빌    방배로15길 15  서울특별시 서초구 방배동
2  27000.0    방배비바체   방배중앙로 50-1  서울특별시 서초구 방배동
3  36000.0     방배리움    방배로19길 30  서울특별시 서초구 방배동
4  32000.0    방배비체빌   서초대로28길 36  서울특별시 서초구 방배동",30766.33333
1165010200,12,39.63,4,2013,"   deposit building          road           dong
0  22550.0     제이원빌      언남11길 25  서울특별시 서초구 양재동
1  29000.0     제이원빌      언남11길 25  서울특별시 서초구 양재동
2  29000.0     제이원빌      언남11길 25  서울특별시 서초구 양재동
3  31000.0    빌라185       언남18길 5  서울특별시 서초구 양재동
4  29000.0  (356-5)  강남대로6길 52-16  서울특별시 서초구 양재동",23334
1165010200,18,58.01,2,2017,"   deposit          building          road           dong
0  40000.0           (387-4)     동산로14길 58  서울특별시 서초구 양재동
1  32000.0  S-PLANET (에스플래닛)  강남대로6길 66-15  서울특별시 서초구 양재동
2  33600.0            알파인하우스      동광로1길 50  서울특별시 서초구 방배동
3  37800.0            알파인하우스      동광로1길 50  서울특별시 서초구 방배동
4  31000.0               다솜빌       전원말2길 9  서울특별시 서초구 방배동",38366.66667
1165010100,9,29.78,5,2015,"   deposit            building          road           dong
0  32000.0                 골든힐   방배중앙로21길 34  서울특별시 서초구 방배동
1  26000.0             퍼스트캐슬B동  서초대로30길 18-6  서울특별시 서초구 방배동
2  24000.0                드림원빌        동광로 22  서울특별시 서초구 방배동
3  21000.0           bera ruce   방배로20길 13-5  서울특별시 서초구 방배동
4  24500.0  Urban House(어반하우스)    방배중앙로 96-3  서울특별시 서초구 방배동",27770
1165010200,8,26.22,3,2010,"   deposit building         road           dong
0  17000.0  (342-8)  강남대로6길 71-8  서울특별시 서초구 양재동
1  16000.0  (342-8)  강남대로6길 71-8  서울특별시 서초구 양재동
2  13000.0  (342-7)  강남대로6길 71-6  서울특별시 서초구 양재동
3  15000.0    아리힐주택     매헌로10길 8  서울특별시 서초구 양재동
4  12000.0  (342-7)  강남대로6길 71-6  서울특별시 서초구 양재동",14904
