코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1114016200,8,26.81,6,2017,"   deposit  building          road          dong
0  24000.0     진흥펠리체  다산로33라길 15-7  서울특별시 중구 신당동
1  25000.0    청구퍼스트빌     청구로 83-14  서울특별시 중구 신당동
2  28000.0  (333-66)     다산로24길 14  서울특별시 중구 신당동
3  27000.0      드림밸리    다산로8길 38-1  서울특별시 중구 신당동
4  27000.0      드림밸리    다산로8길 38-1  서울특별시 중구 신당동",24355
1114016200,18,58.18,2,2000,"   deposit          building          road          dong
0  20000.0            청구101동    청구로1길 43-1  서울특별시 중구 신당동
1  14000.0  로얄하이츠빌라(432-567)    동호로11마길 49  서울특별시 중구 신당동
2  17000.0              혜인빌라    동호로11바길 48  서울특별시 중구 신당동
3  15000.0    훼미리타운(432-604)    동호로11라길 40  서울특별시 중구 신당동
4  16000.0          토토빌리지 3차  동호로11나길 58-4  서울특별시 중구 신당동",18295
1114016200,10,33.63,4,2016,"   deposit building         road          dong
0  24000.0      해비치    다산로31길 55  서울특별시 중구 신당동
1  23500.0   남산더힐A동  동호로14길 5-40  서울특별시 중구 신당동
2  23500.0   남산더힐A동  동호로14길 5-40  서울특별시 중구 신당동
3  22000.0   동원스위트홈    청구로21길 46  서울특별시 중구 신당동
4  24500.0   대명풀하우스    다산로18길 45  서울특별시 중구 신당동",23478.5
1114013900,8,27.57,6,2017,"   deposit    building      road           dong
0  24000.0  VALUE SL Ⅱ  필동로1길 17  서울특별시 중구 필동3가
1  24000.0  VALUE SL Ⅱ  필동로1길 17  서울특별시 중구 필동3가
2  27000.0       파크쉐르빌  필동로1길 15  서울특별시 중구 필동3가
3  26000.0        퍼스트빌   서애로5길 9  서울특별시 중구 필동3가
4  24000.0  VALUE SL Ⅱ  필동로1길 17  서울특별시 중구 필동3가",24303.5
1114016200,9,29.68,1,2015,"   deposit building           road          dong
0  22000.0    민 하우스       청구로10길 7  서울특별시 중구 신당동
1  17000.0  (411-9)      청구로17길 66  서울특별시 중구 신당동
2  19000.0  (420-1)      동호로14길 41  서울특별시 중구 신당동
3  21000.0  약수 준아트빌  동호로17길 269-12  서울특별시 중구 신당동
4  25000.0   연희 하이빌       청구로3길 60  서울특별시 중구 신당동",22161.66667
1114014300,8,26.67,4,2019,"   deposit    building       road            dong
0  26000.0      트레저빌장충  장충단로8나길 2  서울특별시 중구 장충동1가
1  23500.0      엔 파크 빌   필동로8길 35    서울특별시 중구 예장동
2  24700.0  VALUE SL Ⅱ   필동로1길 17   서울특별시 중구 필동3가
3  24000.0  VALUE SL Ⅱ   필동로1길 17   서울특별시 중구 필동3가
4  24000.0  VALUE SL Ⅱ   필동로1길 17   서울특별시 중구 필동3가",25565.2
1114016500,9,29.99,8,2018,"   deposit      building         road          dong
0  23000.0       동광팰리스 Ⅱ    난계로19길 11  서울특별시 중구 황학동
1  25500.0         테인트리즈     마장로18길 8  서울특별시 중구 황학동
2  25500.0         테인트리즈     마장로18길 8  서울특별시 중구 황학동
3  23500.0  소미골드라인(101동)  마장로18길 16-1  서울특별시 중구 황학동
4  24500.0  소미골드라인(101동)  마장로18길 16-1  서울특별시 중구 황학동",23596.33333
1114016500,9,29.87,8,2019,"   deposit      building         road          dong
0  25500.0         테인트리즈     마장로18길 8  서울특별시 중구 황학동
1  25500.0         테인트리즈     마장로18길 8  서울특별시 중구 황학동
2  23000.0       동광팰리스 Ⅱ    난계로19길 11  서울특별시 중구 황학동
3  23500.0  소미골드라인(101동)  마장로18길 16-1  서울특별시 중구 황학동
4  24500.0  소미골드라인(101동)  마장로18길 16-1  서울특별시 중구 황학동",25295
1114016200,17,56,2,2012,"   deposit  building         road          dong
0  34000.0      준아트빌   동호로17길 240  서울특별시 중구 신당동
1  29500.0  (333-59)    다산로20길 25  서울특별시 중구 신당동
2  33000.0     세종빌리지    동호로15길 95  서울특별시 중구 신당동
3  20000.0     약수아이빌    동호로8가길 30  서울특별시 중구 신당동
4  30000.0     그린피아빌  동호로14길 11-7  서울특별시 중구 신당동",30385
1114016200,8,25.98,3,2017,"   deposit  building          road          dong
0  25000.0    청구퍼스트빌     청구로 83-14  서울특별시 중구 신당동
1  24000.0    청구퍼스트빌     청구로 83-14  서울특별시 중구 신당동
2  23000.0  (349-94)   동호로10길 8-12  서울특별시 중구 신당동
3  23000.0  (349-94)   동호로10길 8-12  서울특별시 중구 신당동
4  24500.0     진흥펠리체  다산로33라길 15-7  서울특별시 중구 신당동",22876.25
1114016500,9,29.82,8,2019,"   deposit      building         road          dong
0  25500.0         테인트리즈     마장로18길 8  서울특별시 중구 황학동
1  25500.0         테인트리즈     마장로18길 8  서울특별시 중구 황학동
2  23000.0       동광팰리스 Ⅱ    난계로19길 11  서울특별시 중구 황학동
3  23500.0  소미골드라인(101동)  마장로18길 16-1  서울특별시 중구 황학동
4  24500.0  소미골드라인(101동)  마장로18길 16-1  서울특별시 중구 황학동",25355
1114016200,18,59.08,2,1996,"   deposit          building          road          dong
0  16000.0          토토빌리지 3차  동호로11나길 58-4  서울특별시 중구 신당동
1  20000.0            청구101동    청구로1길 43-1  서울특별시 중구 신당동
2  14000.0  로얄하이츠빌라(432-567)    동호로11마길 49  서울특별시 중구 신당동
3  10000.0          가람빌라(2차)  동호로11아길 22-5  서울특별시 중구 신당동
4  17000.0              혜인빌라    동호로11바길 48  서울특별시 중구 신당동",19725
