코드,평수,전용면적(㎡),층,건축년도,predicted,predicted price
1138010400,12,39.74,4,2017,"   deposit         building          road           dong
0  24000.0  거성리젠시(105,106동)  연서로29길 34-11  서울특별시 은평구 갈현동
1  27000.0           부림베네치아     갈현로47길 12  서울특별시 은평구 갈현동
2  18000.0            동진홈타운     통일로 907-8  서울특별시 은평구 갈현동
3  18500.0            동진홈타운     통일로 907-8  서울특별시 은평구 갈현동
4  18500.0            동진홈타운     통일로 907-8  서울특별시 은평구 갈현동",19563
1138010400,16,51.36,2,2013,"   deposit        building          road           dong
0  19000.0            수하우징     갈현로 328-7  서울특별시 은평구 갈현동
1  23000.0  신아굿모닝빌(494-26)  연서로21길 24-26  서울특별시 은평구 갈현동
2   3497.0            힐하우스  갈현로45길 14-10  서울특별시 은평구 갈현동
3  16000.0        (444-16)   갈현로35길 12-3  서울특별시 은평구 갈현동
4  19500.0            수하우징     갈현로 328-7  서울특별시 은평구 갈현동",19164.88
1138010300,23,76.05,3,2004,"   deposit       building          road           dong
0  22000.0           홍림빌라  통일로82나길 16-4  서울특별시 은평구 불광동
1  22000.0           홍림빌라  통일로82나길 16-4  서울특별시 은평구 불광동
2  20000.0        송광맨션 A동   통일로88길 15-5  서울특별시 은평구 불광동
3  22000.0          불광해피빌   연서로34길 33-7  서울특별시 은평구 불광동
4  20000.0  태경쉐르빌(221-85)    불광로13가길 16  서울특별시 은평구 불광동",21655
1138010400,17,56.38,3,2015,"   deposit      building         road           dong
0  22000.0  어울림빌(503-15)      갈현로 243  서울특별시 은평구 갈현동
1  23000.0  수하우징(503-16)    갈현로 241-1  서울특별시 은평구 갈현동
2  26000.0        부림베네치아    갈현로47길 12  서울특별시 은평구 갈현동
3  20000.0         우민렉스빌  갈현로43길 1-11  서울특별시 은평구 갈현동
4  15000.0         토리하우스   통일로92나길 22  서울특별시 은평구 불광동",20605
1138010700,19,63.96,1,1994,"   deposit      building         road           dong
0  15000.0          목화빌라    은평로 204-5  서울특별시 은평구 응암동
1  14000.0          부림맨션  응암로34길 12-8  서울특별시 은평구 응암동
2  15000.0       (42-63)    은평로16나길 5  서울특별시 은평구 응암동
3  18500.0          수연빌라  은평로20길 4-12  서울특별시 은평구 응암동
4  22000.0  보영타운(214-45)  연서로20길 24-7  서울특별시 은평구 대조동",16925
1138010700,18,59.21,6,2019,"   deposit      building        road           dong
0  28000.0         거성리젠시   은평로 204-4  서울특별시 은평구 응암동
1  28000.0         거성리젠시   은평로 204-4  서울특별시 은평구 응암동
2  22000.0           윤스빌   응암로 231-1  서울특별시 은평구 응암동
3  22000.0           윤스빌   응암로 231-1  서울특별시 은평구 응암동
4  23000.0  제이드빌(A,B,C동)  진흥로9길 15-8  서울특별시 은평구 역촌동",28100.41667
1138010700,13,43.42,2,2015,"   deposit       building         road           dong
0  26000.0          연희하이빌   불광천길 442-9  서울특별시 은평구 응암동
1  24600.0         명남 아띠빌    은평로16나길 7  서울특별시 은평구 응암동
2  17000.0        백련산파크타운    백련산로4길 19  서울특별시 은평구 응암동
3  23000.0          초원그린빌  응암로4길 18-16  서울특별시 은평구 응암동
4  23000.0  에스클래스(159-13)     백련산로 161  서울특별시 은평구 응암동",21715
1138010300,8,26.75,1,2017,"   deposit  building          road           dong
0  15000.0  대경아르체20차    연서로37가길 13  서울특별시 은평구 불광동
1  19000.0  포레스트힐 불광  연서로34가길 15-2  서울특별시 은평구 불광동
2  19000.0  포레스트힐 불광  연서로34가길 15-2  서울특별시 은평구 불광동
3  15500.0     삼성캐스빌    통일로92가길 13  서울특별시 은평구 불광동
4  14000.0     메트로럭스  연서로41가길 32-5  서울특별시 은평구 불광동",15922.27381
1138010800,8,27,4,2017,"   deposit      building        road           dong
0  16500.0  청운명가(25-132)   진흥로7나길 10  서울특별시 은평구 역촌동
1  17000.0      수현프리모하우스   연서로16길 17  서울특별시 은평구 역촌동
2  17000.0      수현프리모하우스   연서로16길 17  서울특별시 은평구 역촌동
3  21000.0        베아트리스빌  진흥로9길 21-8  서울특별시 은평구 역촌동
4  20000.0           엘디아   역말로 83-29  서울특별시 은평구 역촌동",17895
1138010800,11,37.32,1,1993,"   deposit  building        road           dong
0   6500.0     기린원주택  진흥로1길 13-6  서울특별시 은평구 역촌동
1  10500.0      미도빌라   진흥로1가길 11  서울특별시 은평구 역촌동
2   7000.0  미건빌라(나동)  역말로6길 6-11  서울특별시 은평구 역촌동
3  15000.0  미건빌라(나동)  역말로6길 6-11  서울특별시 은평구 역촌동
4  10000.0    남전그린빌라    갈현로14길 8  서울특별시 은평구 역촌동",8110.666667
1138010700,23,77.22,1,2002,"   deposit       building         road           dong
0  23500.0          대원쉐르빌    은평로16길 28  서울특별시 은평구 응암동
1  23000.0           서원타운    가좌로 188-8  서울특별시 은평구 응암동
2  13000.0  하나그린빌(583-28)   불광천길 410-9  서울특별시 은평구 응암동
3  23000.0           경인빌라    응암로 285-2  서울특별시 은평구 응암동
4  18000.0       삼인포스트빌2차  연서로22길 18-1  서울특별시 은평구 대조동",19859
1138010500,22,73.95,2,2002,"   deposit building         road           dong
0  20000.0  금촌빌(6차)  서오릉로21길 8-6  서울특별시 은평구 구산동
1  18000.0    현대쉐르빌     연서로9길 38  서울특별시 은평구 구산동
2  19000.0     세명주택  서오릉로21가길 14  서울특별시 은평구 구산동
3  19000.0     세명주택  서오릉로21가길 14  서울특별시 은평구 구산동
4  17000.0       부성   갈현로17가길 12  서울특별시 은평구 구산동",19730
1138010200,17,57.6,1,1997,"   deposit      building        road           dong
0  13000.0       (29-83)   녹번로 60-10  서울특별시 은평구 녹번동
1  16500.0     CHL맨션(A동)  통일로53길 9-6  서울특별시 은평구 녹번동
2  18000.0      거성맨션(A동)  녹번로6길 12-6  서울특별시 은평구 녹번동
3  15000.0       (433-2)   연서로37길 14  서울특별시 은평구 불광동
4  16000.0  홍영빌라(105-34)  연서로40길 9-2  서울특별시 은평구 불광동",14040
1138010600,9,28.96,3,2016,"   deposit building          road           dong
0  17800.0    CS아르체    역말로9가길 8-1  서울특별시 은평구 대조동
1  17500.0   부림베네치아  서오릉로10길 13-8  서울특별시 은평구 대조동
2  18000.0    대영아트빌  연서로26길 25-10  서울특별시 은평구 대조동
3   9000.0  (33-29)   진흥로13길 9-14  서울특별시 은평구 대조동
4  22000.0   하나블루힐스     서오릉로10길 4  서울특별시 은평구 대조동",18656
