코드,평수,전용면적(㎡),층,건축년도,predicted,predicted price
1123010900,18,59.82,2,2008,"   deposit   building         road            dong
0  22000.0      온유한빌라    한천로49길 38  서울특별시 동대문구 휘경동
1  13500.0      동부체리빌   망우로14가길 20  서울특별시 동대문구 휘경동
2  18000.0     휘경동다세대    이문로12길 54  서울특별시 동대문구 휘경동
3  13000.0      휘경빌타운     망우로 28-7  서울특별시 동대문구 휘경동
4   9500.0  (286-344)  망우로18길 81-1  서울특별시 동대문구 휘경동",19202.5
1123011000,17,57.17,3,2000,"   deposit   building         road            dong
0  20000.0    이경다보빌가동  외대역동로14길 24  서울특별시 동대문구 이문동
1  20000.0    이경다보빌가동  외대역동로14길 24  서울특별시 동대문구 이문동
2  14700.0  (170-130)    이문로42길 75  서울특별시 동대문구 이문동
3  15000.0  (170-130)    이문로42길 75  서울특별시 동대문구 이문동
4  14000.0        33동    한천로49길 32  서울특별시 동대문구 휘경동",19086.5
1123010300,9,28.19,5,2019,"   deposit building       road            dong
0  22700.0     에코시티   고산자로 521  서울특별시 동대문구 제기동
1  25000.0    한강뉴스타  안암로 104-1  서울특별시 동대문구 제기동
2  24800.0     에코시티   고산자로 521  서울특별시 동대문구 제기동
3  23000.0     다빈치빌  정릉천동로 112  서울특별시 동대문구 제기동
4  25000.0  안암 아크로빌    안암로 100  서울특별시 동대문구 제기동",23763
1123010900,6,18.3,4,2011,"   deposit   building         road            dong
0   7500.0      화인플러스     망우로21길 8  서울특별시 동대문구 휘경동
1   7000.0  (286-344)  망우로18길 81-1  서울특별시 동대문구 휘경동
2   7500.0  (286-174)  망우로16길 49-6  서울특별시 동대문구 휘경동
3  13500.0  (286-174)  망우로16길 49-6  서울특별시 동대문구 휘경동
4  13500.0  (286-174)  망우로16길 49-6  서울특별시 동대문구 휘경동",7517.083333
1123010600,16,53.55,3,1981,"   deposit    building          road            dong
0  13000.0   서광(394-2)  답십리로66길 89-4  서울특별시 동대문구 장안동
1  14000.0   장안(394-3)     한천로18길 51  서울특별시 동대문구 장안동
2  15000.0  개나리(404-6)  천호대로77가길 9-3  서울특별시 동대문구 장안동
3  15000.0   칠성(378-8)   답십리로68길 123  서울특별시 동대문구 장안동
4  11000.0   칠성(378-8)   답십리로68길 123  서울특별시 동대문구 장안동",14640
1123010600,12,40.34,4,2012,"   deposit   building           road            dong
0  16500.0  삼성쉐르빌(A동)  사가정로23가길 45-9  서울특별시 동대문구 장안동
1  20000.0     건양스위트룸     천호대로87길 35  서울특별시 동대문구 장안동
2  26500.0      SB팰리스      장한로10길 40  서울특별시 동대문구 장안동
3  26000.0      SB팰리스      장한로10길 40  서울특별시 동대문구 장안동
4  26000.0       더헤리움       한천로6길 34  서울특별시 동대문구 장안동",16340
1123010600,8,27.25,9,2019,"   deposit building      road            dong
0  26200.0  성우스타팰리스  장한로2길 80  서울특별시 동대문구 장안동
1  26200.0  성우스타팰리스  장한로2길 80  서울특별시 동대문구 장안동
2  25500.0  성우스타팰리스  장한로2길 80  서울특별시 동대문구 장안동
3  26500.0  성우스타팰리스  장한로2길 80  서울특별시 동대문구 장안동
4  26000.0  성우스타팰리스  장한로2길 80  서울특별시 동대문구 장안동",25965.53333
1123010600,8,27.35,9,2019,"   deposit building      road            dong
0  26000.0  성우스타팰리스  장한로2길 80  서울특별시 동대문구 장안동
1  26500.0  성우스타팰리스  장한로2길 80  서울특별시 동대문구 장안동
2  26200.0  성우스타팰리스  장한로2길 80  서울특별시 동대문구 장안동
3  26200.0  성우스타팰리스  장한로2길 80  서울특별시 동대문구 장안동
4  25500.0  성우스타팰리스  장한로2길 80  서울특별시 동대문구 장안동",26112.58333
1123010400,9,29.81,5,2019,"   deposit  building          road            dong
0  22000.0       타워빌  서울시립대로19길 10  서울특별시 동대문구 전농동
1  21500.0  (126-72)     전농로31길 32  서울특별시 동대문구 전농동
2  22000.0     아티움전농    전농로37나길 28  서울특별시 동대문구 전농동
3  20000.0     하이프라자   전농로37길 33-1  서울특별시 동대문구 전농동
4  18000.0     하이프라자   전농로37길 33-1  서울특별시 동대문구 전농동",20725.66667
1123010400,26,85.39,1,1980,"   deposit   building         road             dong
0  19000.0     그린빌라다동   답십리로53길 35  서울특별시 동대문구 답십리동
1  18000.0   (1191-0)    정릉천동로 123   서울특별시 동대문구 제기동
2   2500.0  대광(395-4)    장한로17길 42   서울특별시 동대문구 장안동
3  19000.0       성수빌라   답십리로57길 19  서울특별시 동대문구 답십리동
4  25000.0  초원(318-7)  답십리로69길 127   서울특별시 동대문구 장안동",15870
