코드,평수,전용면적(㎡),층,건축년도,predicted
1135010500,9,29.99,2,2016,"   deposit  pricemon       building         road           dong
0   4000.0        40      상계 예인빌라1차    상계로18길 48  서울특별시 노원구 상계동
1    500.0        55          동신라메르    상계로12길 76  서울특별시 노원구 상계동
2   3000.0        30           레나힐스   동일로242라길 9  서울특별시 노원구 상계동
3   1000.0        50          새울센스빌  한글비석로37길 30  서울특별시 노원구 상계동
4   1624.0        21  미소홈타운(1051-8)  동일로237다길 21  서울특별시 노원구 상계동"
1135010500,6,18.72,5,2010,"   deposit  pricemon building       road           dong
0   3000.0        40    무지개원룸  상계로 110-1  서울특별시 노원구 상계동
1    300.0        45    무지개원룸  상계로 110-1  서울특별시 노원구 상계동
2    100.0        40    중앙프라자    상계로 146  서울특별시 노원구 상계동
3   1000.0        40    중앙프라자    상계로 146  서울특별시 노원구 상계동
4    500.0        40    중앙프라자    상계로 146  서울특별시 노원구 상계동"
1135010300,18,59.99,3,2015,"   deposit  pricemon building          road           dong
0   2000.0        30   556-15  동일로182길 37-8  서울특별시 노원구 공릉동
1   4000.0        70  (586-1)  동일로180길 48-6  서울특별시 노원구 공릉동
2   1000.0        45     해성빌Y  동일로190길 67-5  서울특별시 노원구 공릉동
3   4000.0        40   556-15  동일로182길 37-8  서울특별시 노원구 공릉동
4   1841.0        24     뉴서울빌   동일로193가길 18  서울특별시 노원구 공릉동"
1135010300,4,12,2,2011,"   deposit  pricemon       building           road           dong
0    300.0        39    파크빌(559-26)  동일로182길 63-19  서울특별시 노원구 공릉동
1   1500.0        40  제이하우스(513-40)     동일로186길 48  서울특별시 노원구 공릉동
2   2500.0        40       (506-29)     동일로186길 76  서울특별시 노원구 공릉동
3   2000.0        30          해피하우스  동일로192나길 16-4  서울특별시 노원구 공릉동
4    500.0        45            아인빌      공릉로43가길 7  서울특별시 노원구 공릉동"
1135010200,15,49.21,2,2018,"   deposit  pricemon building           road           dong
0    500.0        50  (376-7)         광운로 75  서울특별시 노원구 월계동
1  10000.0        35    대성파크빌    초안산로2길 90-4  서울특별시 노원구 월계동
2   3000.0        60    우공리온빌     동일로196길 28  서울특별시 노원구 공릉동
3   2000.0        40   441-86   공릉로43가길 30-4  서울특별시 노원구 공릉동
4   1000.0        70   해오라기힐스  동일로186길 53-40  서울특별시 노원구 공릉동"
1135010200,15,49.21,4,2018,"   deposit  pricemon building          road           dong
0    100.0        27     조은주택  월계로44가길 65-2  서울특별시 노원구 월계동
1  10000.0        35    대성파크빌   초안산로2길 90-4  서울특별시 노원구 월계동
2   5000.0        65    우공리온빌    동일로196길 28  서울특별시 노원구 공릉동
3   1000.0        45      이지원    동일로198길 66  서울특별시 노원구 공릉동
4   1841.0        24     뉴서울빌   동일로193가길 18  서울특별시 노원구 공릉동"
1135010200,4,13.32,4,2013,"   deposit  pricemon building       road           dong
0   3000.0        25     퍼스티안  광운로2나길 45  서울특별시 노원구 월계동
1   4000.0        16    청마하우스    광운로7길 8  서울특별시 노원구 월계동
2   4000.0        16    청마하우스    광운로7길 8  서울특별시 노원구 월계동
3   2000.0        38    청마하우스    광운로7길 8  서울특별시 노원구 월계동
4   1000.0        45     제이타운  석계로13길 44  서울특별시 노원구 월계동"
1135010200,7,23.7,5,2013,"   deposit  pricemon     building       road           dong
0   1000.0        46         제이타운  석계로13길 44  서울특별시 노원구 월계동
1   3000.0        28        청마하우스    광운로7길 8  서울특별시 노원구 월계동
2   2000.0        35        청마하우스    광운로7길 8  서울특별시 노원구 월계동
3    500.0        35  준파크빌2차(호분할)  광운로12길 28  서울특별시 노원구 월계동
4   2000.0        30         퍼스티안  광운로2나길 45  서울특별시 노원구 월계동"
1135010300,4,14.3,6,2012,"   deposit  pricemon  building           road           dong
0   1000.0        40      성욱파크     동일로174길 24  서울특별시 노원구 공릉동
1   1000.0        40  골든HOUSE2     동일로196길 21  서울특별시 노원구 공릉동
2   1000.0        50     그랜드빌딩     동일로190길 42  서울특별시 노원구 공릉동
3   1000.0        34  (513-57)  동일로186길 36-20  서울특별시 노원구 공릉동
4   1000.0        38  골든HOUSE2     동일로196길 21  서울특별시 노원구 공릉동"
1135010300,23,74.96,2,2003,"   deposit  pricemon   building           road           dong
0   1000.0        50      마인드밸리     동일로190길 50  서울특별시 노원구 공릉동
1   9000.0        45       석정빌라  동일로176길 29-21  서울특별시 노원구 공릉동
2   1000.0        60       스위트빌       공릉로20길 7  서울특별시 노원구 공릉동
3   3000.0        80  동해빌라트101동  한글비석로1길 81-12  서울특별시 노원구 하계동
4   5000.0        75      삼성하이빌     동일로186길 77  서울특별시 노원구 공릉동"
