코드,평,전용면적(㎡),층,건축년도,predicted
1168010800,19,61.81,3,2001,"   deposit  pricemon         building          road           dong
0   3000.0       140       한스빌(253-3)    선릉로125길 25  서울특별시 강남구 논현동
1   2000.0       115         (270-29)  봉은사로49길 19-9  서울특별시 강남구 논현동
2   1500.0       105              토미빌    논현로140길 29  서울특별시 강남구 논현동
3  20000.0        70     월드빌라(257-10)    선릉로121길 61  서울특별시 강남구 논현동
4   2000.0       150  I.PITNESS VILLE    논현로118길 27  서울특별시 강남구 논현동"
1168010600,12,39.04,4,2002,"   deposit  pricemon building         road           dong
0  16000.0        10  유앤미스페이스  선릉로82길 40-6  서울특별시 강남구 대치동
1   8000.0        60  유앤미스페이스  선릉로82길 40-6  서울특별시 강남구 대치동
2   5000.0        56    아람뜨레빌     삼성로84길 9  서울특별시 강남구 대치동
3   1000.0        90      명빌라  도곡로73길 7-13  서울특별시 강남구 대치동
4   6000.0        70     소남빌딩    삼성로81길 27  서울특별시 강남구 대치동"
1168010500,7,24.4,3,1996,"   deposit  pricemon      building          road           dong
0   8000.0        15       (117-9)    봉은사로74길 11  서울특별시 강남구 삼성동
1   7000.0        30          우진빌라    삼성로116길 11  서울특별시 강남구 삼성동
2   2000.0        60       (651-7)  도산대로45길 10-6  서울특별시 강남구 신사동
3   1000.0        72  삼성벤처빌(10-23)    봉은사로57길 63  서울특별시 강남구 삼성동
4  11000.0        25      (959-15)     역삼로81길 27  서울특별시 강남구 대치동"
1168010100,19,63.22,3,2002,"   deposit  pricemon  building         road           dong
0  30000.0        25  (795-11)    논현로65길 24  서울특별시 강남구 역삼동
1   3000.0       150   (672-1)   테헤란로33길 40  서울특별시 강남구 역삼동
2   3000.0       140      연화빌라  언주로69길 17-6  서울특별시 강남구 역삼동
3  28000.0        15   (788-4)     도곡로25길 9  서울특별시 강남구 역삼동
4  22500.0        36     성원노브빌    논현로65길 44  서울특별시 강남구 역삼동"
1168010800,8,27.88,2,2002,"   deposit  pricemon building          road           dong
0   2000.0        63  (155-5)     학동로26길 53  서울특별시 강남구 논현동
1   1000.0        75   논현베스트빌  논현로131길 10-4  서울특별시 강남구 논현동
2   1000.0        70   논현베스트빌  논현로131길 10-4  서울특별시 강남구 논현동
3   6000.0        65     시온주택     학동로23길 19  서울특별시 강남구 논현동
4   2000.0        75      화인빌    논현로146길 35  서울특별시 강남구 논현동"
1168010100,9,29.58,1,2001,"   deposit  pricemon  building        road           dong
0   3000.0        55  (777-13)   논현로70길 26  서울특별시 강남구 역삼동
1   2000.0        60       634  봉은사로22길 61  서울특별시 강남구 역삼동
2   3000.0        53      사르리1  테헤란로32길 52  서울특별시 강남구 역삼동
3   8000.0        20   역삼동연립주택  언주로106길 19  서울특별시 강남구 역삼동
4   1000.0        70      사르리1  테헤란로32길 52  서울특별시 강남구 역삼동"
1168010100,10,32.33,3,2002,"   deposit  pricemon  building          road           dong
0  10000.0        40    해오름하우스     논현로68길 21  서울특별시 강남구 역삼동
1   3000.0        60      피렌체빌     논현로67길 16  서울특별시 강남구 역삼동
2   1000.0        67      폴라리스   논현로64길 31-6  서울특별시 강남구 역삼동
3   1000.0        60  (836-64)  강남대로62길 35-7  서울특별시 강남구 역삼동
4  10000.0        50     행복한빌라    논현로106길 47  서울특별시 강남구 역삼동"
1168010500,6,19.09,3,2012,"   deposit  pricemon    building           road           dong
0   1000.0        75  영빌딩(153-2)  삼성로100길 23-15  서울특별시 강남구 삼성동
1   2000.0        70  영빌딩(153-2)  삼성로100길 23-15  서울특별시 강남구 삼성동
2   1000.0        70       아이리스빌    영동대로112길 55  서울특별시 강남구 삼성동
3   1000.0        62       아이리스빌    영동대로112길 55  서울특별시 강남구 삼성동
4  10000.0        30    (926-16)   삼성로63길 48-30  서울특별시 강남구 대치동"
1168010100,7,23.61,8,1987,"   deposit  pricemon       building         road           dong
0   2000.0       100    강남 IBC 오피스텔     테헤란로7길 8  서울특별시 강남구 역삼동
1   1000.0        90    강남 IBC 오피스텔     테헤란로7길 8  서울특별시 강남구 역삼동
2   1000.0        90    강남 IBC 오피스텔     테헤란로7길 8  서울특별시 강남구 역삼동
3   1000.0        73           금하빌딩  논현로95길 29-5  서울특별시 강남구 역삼동
4  24000.0        25  아트빌라B동(166-8)   선릉로10길 4-3  서울특별시 강남구 개포동"
1168010100,21,70.49,3,1996,"   deposit  pricemon       building          road           dong
0   4000.0        50         역삼그린빌라     논현로63길 56  서울특별시 강남구 역삼동
1  24000.0        45  리빙하이츠(664-11)     언주로97길 30  서울특별시 강남구 역삼동
2  23000.0        10  리빙하이츠(664-11)     언주로97길 30  서울특별시 강남구 역삼동
3  10000.0        90           스카이빌  논현로102길 29-3  서울특별시 강남구 역삼동
4  18000.0        50         하이레지던스    봉은사로44길 75  서울특별시 강남구 역삼동"
1168010100,10,32,4,2002,"   deposit  pricemon       building          road           dong
0  12000.0        50             명당     논현로67길 24  서울특별시 강남구 역삼동
1   5000.0        55  초이스빌라(723-22)  테헤란로34길 33-5  서울특별시 강남구 역삼동
2   2000.0        70       (749-27)     논현로75길 33  서울특별시 강남구 역삼동
3  12000.0        50            드림빌    테헤란로53길 41  서울특별시 강남구 역삼동
4   5000.0        60         해오름하우스     논현로68길 21  서울특별시 강남구 역삼동"
1168010100,10,31.41,1,2001,"   deposit  pricemon  building        road           dong
0   2000.0        60       634  봉은사로22길 61  서울특별시 강남구 역삼동
1   3000.0        55  (777-13)   논현로70길 26  서울특별시 강남구 역삼동
2    110.0       110      골든케슬  언주로100길 11  서울특별시 강남구 역삼동
3  11000.0        20       단우빌  테헤란로38길 45  서울특별시 강남구 역삼동
4   5000.0        50   (794-4)   논현로67길 31  서울특별시 강남구 역삼동"
1168010700,6,20.65,3,2002,"   deposit  pricemon      building        road           dong
0   8000.0        30          서운빌라   압구정로4길 21  서울특별시 강남구 신사동
1   3000.0        56           쥬스빌  논현로153길 22  서울특별시 강남구 신사동
2   3000.0        45  하나빌라(213-30)  논현로126길 13  서울특별시 강남구 논현동
3   9000.0        35           유명빌   선릉로68길 37  서울특별시 강남구 대치동
4  12000.0        30           유명빌   선릉로68길 37  서울특별시 강남구 대치동"
1168010800,10,32.85,1,2000,"   deposit  pricemon    building          road           dong
0   1500.0        54        아름빌라    논현로119길 30  서울특별시 강남구 논현동
1   6000.0        43        리하우스     학동로26길 55  서울특별시 강남구 논현동
2   1000.0        62        논현힐즈    도산대로38길 56  서울특별시 강남구 논현동
3   2000.0        55        명주빌라  언주로135길 32-5  서울특별시 강남구 논현동
4  13000.0        20  네오빌(10-22)    논현로145길 38  서울특별시 강남구 논현동"
1168010300,14,46.67,5,2011,"   deposit  pricemon            building         road           dong
0  15000.0       110  청담동 13-31 근생/다세대주택   도산대로78길 48  서울특별시 강남구 청담동
1  30000.0        20                  장원    개포로22길 36  서울특별시 강남구 개포동
2  30000.0        20                  장원    개포로22길 36  서울특별시 강남구 개포동
3    500.0       135               토미하우스  역삼로11길 19-7  서울특별시 강남구 역삼동
4  12000.0        10            (1263-7)  개포로31길 15-4  서울특별시 강남구 개포동"
1168010600,11,35.05,3,2012,"   deposit  pricemon          building           road           dong
0  14000.0        80               가인빌    선릉로72길 10-9  서울특별시 강남구 대치동
1   5000.0       115             대치동빌딩      삼성로69길 20  서울특별시 강남구 대치동
2  10000.0        50  삼성동 도시형생활주택 단지형    봉은사로57길 23-3  서울특별시 강남구 삼성동
3   5000.0       100            리츠빌하우징  삼성로115길 20-14  서울특별시 강남구 삼성동
4   6000.0        50          (555-34)     도산대로19길 36  서울특별시 강남구 신사동"
1168010100,22,71.1,2,2002,"   deposit  pricemon      building          road           dong
0   3000.0       170          제이드빌    언주로106길 35  서울특별시 강남구 역삼동
1  15000.0       125          -658    봉은사로30길 11  서울특별시 강남구 역삼동
2   2000.0       165        갤러리빌D동  논현로106길 48-2  서울특별시 강남구 역삼동
3   3000.0       185  효산휴먼빌(729-8)   역삼로37길 11-4  서울특별시 강남구 역삼동
4  21000.0        23         미성빌라텔    언주로103길 15  서울특별시 강남구 역삼동"
1168010100,8,25.8,1,2001,"   deposit  pricemon  building        road           dong
0   8000.0        20   역삼동연립주택  언주로106길 19  서울특별시 강남구 역삼동
1   1000.0        70      사르리1  테헤란로32길 52  서울특별시 강남구 역삼동
2   3000.0        53      사르리1  테헤란로32길 52  서울특별시 강남구 역삼동
3   1000.0        43     효령하우스   역삼로 213-5  서울특별시 강남구 역삼동
4   3000.0        55  (777-13)   논현로70길 26  서울특별시 강남구 역삼동"
1168010600,11,35.68,3,2001,"   deposit  pricemon  building       road           dong
0  10000.0        30      힐빌라트  선릉로82길 27  서울특별시 강남구 대치동
1   1000.0        70     희성팰리스  역삼로 456-1  서울특별시 강남구 대치동
2   8000.0        45  (929-21)  삼성로67길 15  서울특별시 강남구 대치동
3   4000.0        55  (901-46)  역삼로73길 18  서울특별시 강남구 대치동
4    125.0       125     SM이지빌  역삼로67길 31  서울특별시 강남구 대치동"
1168011800,7,22.08,3,1996,"   deposit  pricemon      building          road           dong
0   3000.0        40          N.60     논현로57길 37  서울특별시 강남구 도곡동
1  10000.0        30  Jun&JinVille    강남대로44길 14  서울특별시 강남구 도곡동
2   8000.0        30      (954-25)    강남대로44길 20  서울특별시 강남구 도곡동
3  10000.0        40       동연Ville  남부순환로365길 56  서울특별시 강남구 도곡동
4  20000.0        40         삼성하이츠     도곡로18길 30  서울특별시 강남구 도곡동"
1168010100,6,21,2,2013,"   deposit  pricemon       building         road           dong
0   1000.0        77          제니스타워    논현로68길 16  서울특별시 강남구 역삼동
1   3000.0        60          제니스타워    논현로68길 16  서울특별시 강남구 역삼동
2   8000.0        40       (836-45)     도곡로5길 16  서울특별시 강남구 역삼동
3   6000.0        40       (664-27)  언주로99길 13-3  서울특별시 강남구 역삼동
4   2000.0        70  역삼동미까사도시형생활주택   테헤란로22길 45  서울특별시 강남구 역삼동"
1168010500,26,84.35,2,1984,"   deposit  pricemon  building           road           dong
0  33000.0       100    동심골든빌라     삼성로120길 18  서울특별시 강남구 삼성동
1   2000.0       120  (980-18)     영동대로65길 36  서울특별시 강남구 대치동
2    300.0        30      런던빌라  영동대로118길 30-8  서울특별시 강남구 삼성동
3   3000.0       200     현대하이츠    선릉로72길 10-8  서울특별시 강남구 대치동
4  20000.0       100      현대빌라       논현로6길 23  서울특별시 강남구 개포동"
1168010600,22,73.19,4,2002,"   deposit  pricemon  building        road           dong
0  50000.0        20     효산휴먼빌   삼성로63길 30  서울특별시 강남구 대치동
1  18000.0        35  (975-19)   도곡로83길 14  서울특별시 강남구 대치동
2   1000.0        60     조이하우스   선릉로82길 40  서울특별시 강남구 대치동
3  15000.0        65  B&JHouse  봉은사로67길 40  서울특별시 강남구 삼성동
4  15000.0        70  B&JHouse  봉은사로67길 40  서울특별시 강남구 삼성동"
1168010800,11,35.35,3,2002,"   deposit  pricemon      building          road           dong
0   3000.0        90         136-8     학동로14길 22  서울특별시 강남구 논현동
1   2000.0        80  힐하우스(255-13)  선릉로119길 24-6  서울특별시 강남구 논현동
2   2000.0       100  힐하우스(255-13)  선릉로119길 24-6  서울특별시 강남구 논현동
3   1000.0       100  힐하우스(255-13)  선릉로119길 24-6  서울특별시 강남구 논현동
4   1000.0        68          아케디아  봉은사로25길 13-8  서울특별시 강남구 논현동"
1168011800,5,17.46,3,2013,"   deposit  pricemon  building            road           dong
0   5000.0        35   (425-4)        논현로26길 9  서울특별시 강남구 도곡동
1   8000.0        45       비스킷      강남대로48길 25  서울특별시 강남구 도곡동
2   3000.0        45     도곡르비앙  남부순환로351길 22-9  서울특별시 강남구 도곡동
3   1000.0        60      희망빌딩       논현로36길 22  서울특별시 강남구 도곡동
4   2000.0        50  (552-17)      강남대로58길 53  서울특별시 강남구 도곡동"
1168010700,14,44.63,2,2001,"   deposit  pricemon       building          road           dong
0   5000.0        80       (560-18)    논현로151길 38  서울특별시 강남구 신사동
1  14000.0        25       (567-10)  논현로161길 19-2  서울특별시 강남구 신사동
2  14000.0        25       (567-10)  논현로161길 19-2  서울특별시 강남구 신사동
3   1000.0        80    동현빌(628-37)    언주로151길 16  서울특별시 강남구 신사동
4   1000.0        70  토미하우스(270-32)    봉은사로49길 19  서울특별시 강남구 논현동"
1168010100,10,34.31,4,1996,"   deposit  pricemon building        road           dong
0   1000.0        60     성민빌라   논현로95길 13  서울특별시 강남구 역삼동
1    500.0        70      파크빌   논현로79길 29  서울특별시 강남구 역삼동
2   5000.0        40   역삼그린빌라   논현로63길 56  서울특별시 강남구 역삼동
3   2000.0        55    예일하우스   언주로99길 29  서울특별시 강남구 역삼동
4   2000.0        65     동우코아  선릉로107길 26  서울특별시 강남구 역삼동"
1168010500,15,49.27,1,2003,"   deposit  pricemon      building          road           dong
0   3000.0        80   리치빌(123-14)    봉은사로72길 30  서울특별시 강남구 삼성동
1   2000.0        75        (27-8)  봉은사로67길 36-6  서울특별시 강남구 삼성동
2   2000.0       120        (27-8)  봉은사로67길 36-6  서울특별시 강남구 삼성동
3  14000.0        60  청담파크뷰(61-10)    도산대로96길 46  서울특별시 강남구 청담동
4  25000.0        32  청담파크뷰(61-10)    도산대로96길 46  서울특별시 강남구 청담동"
1168010800,10,34.15,3,2003,"   deposit  pricemon      building          road           dong
0    150.0       110    fine ville   강남대로128길 58  서울특별시 강남구 논현동
1   2000.0        80  힐하우스(255-13)  선릉로119길 24-6  서울특별시 강남구 논현동
2   2000.0       100  힐하우스(255-13)  선릉로119길 24-6  서울특별시 강남구 논현동
3   1000.0       100  힐하우스(255-13)  선릉로119길 24-6  서울특별시 강남구 논현동
4   1000.0        90          예진빌라    도산대로 126-8  서울특별시 강남구 논현동"
1168010100,54,178.76,2,1985,"   deposit  pricemon     building         road           dong
0    500.0        50         현대빌라    도곡로27길 46  서울특별시 강남구 역삼동
1   9000.0       350       (61-7)   삼성로122길 28  서울특별시 강남구 삼성동
2   5000.0       275  현대빌라(128-4)  도산대로101길 24  서울특별시 강남구 청담동
3   5000.0       300        보람아트빌    논현로65길 43  서울특별시 강남구 역삼동
4   1000.0        53      (685-3)   봉은사로48길 29  서울특별시 강남구 역삼동"
1168010100,21,70.32,2,2002,"   deposit  pricemon      building          road           dong
0   3000.0       170          제이드빌    언주로106길 35  서울특별시 강남구 역삼동
1   2000.0       165        갤러리빌D동  논현로106길 48-2  서울특별시 강남구 역삼동
2  15000.0       125          -658    봉은사로30길 11  서울특별시 강남구 역삼동
3  21000.0        23         미성빌라텔    언주로103길 15  서울특별시 강남구 역삼동
4   3000.0       185  효산휴먼빌(729-8)   역삼로37길 11-4  서울특별시 강남구 역삼동"
1168010700,5,16.5,4,2014,"   deposit  pricemon building           road           dong
0  10000.0        30  (16-38)    도산대로4길 18-5  서울특별시 강남구 논현동
1   3000.0        60  (16-38)    도산대로4길 18-5  서울특별시 강남구 논현동
2    500.0        52      파크빌  언주로114길 29-11  서울특별시 강남구 논현동
3    100.0        75    첼시하우스   학동로30길 37-20  서울특별시 강남구 논현동
4   1000.0        56  (188-6)    강남대로120길 74  서울특별시 강남구 논현동"
1168010100,7,23.04,5,2002,"   deposit  pricemon building           road           dong
0  10100.0        35       중원  테헤란로19길 34-14  서울특별시 강남구 역삼동
1  10100.0        35       중원  테헤란로19길 34-14  서울특별시 강남구 역삼동
2  13000.0        20  드림하우징빌딩      논현로72길 27  서울특별시 강남구 역삼동
3   8000.0        40  (794-4)      논현로67길 31  서울특별시 강남구 역삼동
4   7000.0        10    우정하우스      논현로95길 28  서울특별시 강남구 역삼동"
1168010500,9,29.71,4,2018,"   deposit  pricemon building          road           dong
0   5000.0        78     예주빌라     학동로56길 41  서울특별시 강남구 삼성동
1   4000.0        47    앤스테이블       삼성로 414  서울특별시 강남구 대치동
2   5000.0       150      고경빌  도산대로83길 46-1  서울특별시 강남구 청담동
3   2000.0       165      고경빌  도산대로83길 46-1  서울특별시 강남구 청담동
4  18000.0        13      제이원     삼성로69길 17  서울특별시 강남구 대치동"
1168010100,12,40.31,4,2000,"   deposit  pricemon building           road           dong
0   8000.0        43  (794-4)      논현로67길 31  서울특별시 강남구 역삼동
1   3000.0        61    효령하우스      역삼로 213-5  서울특별시 강남구 역삼동
2  10000.0        46     하모니빌  선릉로103길 21-18  서울특별시 강남구 역삼동
3  20500.0        14   수목써미트빌      논현로65길 35  서울특별시 강남구 역삼동
4   1000.0        95     폴라리스    논현로64길 31-6  서울특별시 강남구 역삼동"
