코드,평수,전용면적(㎡),층,건축년도,predicted
1159010700,8,27.43,3,2019,"   deposit  pricemon       building          road           dong
0  17000.0        25       (1001-3)    사당로22길 3-1  서울특별시 동작구 사당동
1   2000.0        75        메종슈에뜨10  남부순환로265나길 3  서울특별시 동작구 사당동
2   2000.0        60          예지현빌Ⅱ  남부순환로263길 28  서울특별시 동작구 사당동
3   3000.0        50           더테라스  남부순환로261길 24  서울특별시 동작구 사당동
4   3000.0        60  옥스나드(419-132)  남부순환로267나길 5  서울특별시 동작구 사당동"
1159010700,18,59.85,2,1994,"   deposit  pricemon      building           road           dong
0   8000.0        40         삼호빌라B   남부순환로255길 13  서울특별시 동작구 사당동
1  10000.0        50      (64-148)   동작대로33다길 7-7  서울특별시 동작구 사당동
2   2000.0        60           그랜저     사당로23아길 62  서울특별시 동작구 사당동
3   7000.0        30  진주빌라(303-15)  남부순환로255마길 26  서울특별시 동작구 사당동
4   5000.0        60         온누리빌라     사당로16라길 27  서울특별시 동작구 사당동"
1159010200,16,54.01,2,2002,"   deposit  pricemon         building        road           dong
0   4000.0        30      JABEZ HOUSE   상도로60길 29  서울특별시 동작구 상도동
1   1000.0        70    둥지빌라(363-214)  상도로15바길 30  서울특별시 동작구 상도동
2   8000.0        20  상도동214-191다세대주택   양녕로20길 85  서울특별시 동작구 상도동
3  15000.0        25             동원빌라   상도로36길 27  서울특별시 동작구 상도동
4  10000.0        30               동원   양녕로 183-6  서울특별시 동작구 상도동"
1159010200,15,48.61,4,2015,"   deposit  pricemon   building        road            dong
0  15000.0        52     청담아이리스   상도로13라길 6   서울특별시 동작구 상도동
1  11000.0        10        목화빌  상도로47아길 31   서울특별시 동작구 상도동
2   7000.0        60       리치캐슬     국사봉8길 8   서울특별시 동작구 상도동
3   1880.0        24  (279-417)   성대로14길 62   서울특별시 동작구 상도동
4   2000.0        80       시와진실   강남초등4길 14  서울특별시 동작구 상도1동"
1159010200,20,66.72,2,2008,"   deposit  pricemon        building       road            dong
0   6000.0        65   원형쉐르빌(289-26)  국사봉1길 155   서울특별시 동작구 상도동
1  12000.0        60           맥신푸른빌  상도로13길 40   서울특별시 동작구 상도동
2   5000.0        95         한빛하우스1동  상도로11길 11   서울특별시 동작구 상도동
3   5000.0        80  한백아트빌(299-161)  국사봉14길 26   서울특별시 동작구 상도동
4  10000.0        75           이화아트빌  강남초등6길 26  서울특별시 동작구 상도1동"
1159010900,14,45.37,4,2016,"   deposit  pricemon  building           road            dong
0  10000.0        35      엘리시아      국사봉2가길 16  서울특별시 동작구 신대방동
1  10000.0        60       낙현재      신대방1가길 63  서울특별시 동작구 신대방동
2   5000.0       100  빌라콘체르트1차       대방동7길 11   서울특별시 동작구 대방동
3   1548.0        20     신영스위트     동작대로35자길 5   서울특별시 동작구 사당동
4   5000.0        58     브라운캐슬  여의대방로22차길 7-1  서울특별시 동작구 신대방동"
1159010200,14,46.85,2,2008,"   deposit  pricemon        building          road            dong
0   4000.0        60  다나네스트빌(201-60)    장승배기로3길 13   서울특별시 동작구 상도동
1   4000.0        65            유창빌라      만양로1길 23   서울특별시 동작구 상도동
2   5000.0        70            타미나빌    상도로13다길 15   서울특별시 동작구 상도동
3  11000.0        20            페밀리빌     성대로14길 16   서울특별시 동작구 상도동
4   1000.0        50            H.S빌  상도로47길 84-13  서울특별시 동작구 상도1동"
1159010200,20,67.15,5,2004,"   deposit  pricemon       building          road           dong
0  10000.0        70          정호아파트    상도로47바길 31  서울특별시 동작구 상도동
1  18000.0        30       다모인HOUSE    대방동6길 20-5  서울특별시 동작구 상도동
2  14000.0        10         상도로얄맨션     장승배기로5길 9  서울특별시 동작구 상도동
3   1000.0        68  둥지빌라(363-214)    상도로15바길 30  서울특별시 동작구 상도동
4  10000.0        15            성환빌  성대로11길 36-11  서울특별시 동작구 상도동"
1159010200,17,55.71,2,2007,"   deposit  pricemon        building          road            dong
0   1000.0        70   둥지빌라(363-214)    상도로15바길 30   서울특별시 동작구 상도동
1   1000.0        50            H.S빌  상도로47길 84-13  서울특별시 동작구 상도1동
2   4000.0        60  다나네스트빌(201-60)    장승배기로3길 13   서울특별시 동작구 상도동
3   5000.0        70            타미나빌    상도로13다길 15   서울특별시 동작구 상도동
4  10000.0        75           이화아트빌     강남초등6길 26  서울특별시 동작구 상도1동"
1159010700,6,19.88,2,2003,"   deposit  pricemon                building           road           dong
0   1000.0        55  벧엘빌리지(224-7번지224-78번지)  사당로16가길 100-1  서울특별시 동작구 사당동
1   2000.0        40                    문현빌라      사당로16마길 9  서울특별시 동작구 사당동
2  10000.0        10  벧엘빌리지(224-7번지224-78번지)  사당로16가길 100-1  서울특별시 동작구 사당동
3   7000.0        35                    삼양빌라     동작대로11길 49  서울특별시 동작구 사당동
4   8000.0        20                    하나빌라      사당로9가길 27  서울특별시 동작구 사당동"
