코드,평,전용면적(㎡),층,건축년도,predicted
1165010800,31,103.62,4,1998,"   deposit  pricemon building          road           dong
0  10000.0       125   롯데뉴빌리지  남부순환로347길 57  서울특별시 서초구 서초동
1  35000.0       100     송단62      명달로28길 7  서울특별시 서초구 서초동
2  12000.0       110       박하    사평대로22길 36  서울특별시 서초구 반포동
3  10000.0       130     호원주택   명달로22길 44-9  서울특별시 서초구 서초동
4   3000.0       130     서전빌라     잠원로 201-6  서울특별시 서초구 잠원동"
1165010800,11,37.27,1,2002,"   deposit  pricemon     building          road           dong
0   5000.0        64         명하우스   명달로26길 29-5  서울특별시 서초구 서초동
1  28500.0         8  예림하이츠(1508)     명달로28길 40  서울특별시 서초구 서초동
2   7000.0        30         기성주택  효령로74길 34-19  서울특별시 서초구 서초동
3   7000.0        30         기성주택  효령로74길 34-19  서울특별시 서초구 서초동
4  25000.0        10          이도빌    서리풀3길 20-5  서울특별시 서초구 서초동"
1165010100,8,27.78,5,2013,"   deposit  pricemon building          road           dong
0  20000.0         3    방배비체빌    서초대로28길 36  서울특별시 서초구 방배동
1   1000.0        50     트윈캐슬    서초대로22길 46  서울특별시 서초구 방배동
2  19000.0        20    바우하우스  서초대로30길 27-6  서울특별시 서초구 방배동
3   4000.0        45    드림하이2   방배천로4길 15-8  서울특별시 서초구 방배동
4   1000.0       105    진흥펠리체    방배로20길 8-3  서울특별시 서초구 방배동"
1165010800,4,14.6,5,2018,"   deposit  pricemon     building          road           dong
0   1000.0        50    (1496-14)   명달로17길 14-8  서울특별시 서초구 서초동
1   6000.0        35         모던파크  남부순환로337길 37  서울특별시 서초구 서초동
2   4000.0        55          서화빌    반포대로24길 68  서울특별시 서초구 서초동
3   1000.0        85  정산아트빌(가,나동)     사임당로1길 50  서울특별시 서초구 서초동
4   1000.0        85  정산아트빌(가,나동)     사임당로1길 50  서울특별시 서초구 서초동"
1165010200,9,29.96,4,2018,"   deposit  pricemon   building           road           dong
0   3000.0       100    파크뷰1971     마방로6길 8-51  서울특별시 서초구 양재동
1   4000.0        80     (7-30)  바우뫼로41길 72-13  서울특별시 서초구 양재동
2  12000.0        30       공간5차      논현로31길 46  서울특별시 서초구 양재동
3  28000.0        10  주원베르빌102동       동산로 80-1  서울특별시 서초구 양재동
4   5000.0        70      세화하우징    강남대로8길 23-9  서울특별시 서초구 양재동"
1165010100,11,35.41,5,2016,"   deposit  pricemon building       road           dong
0  26000.0        10   대양리치빌Ⅱ   동광로3길 83  서울특별시 서초구 방배동
1  10000.0        65      보나빌  청두곶15길 18  서울특별시 서초구 방배동
2  10000.0       100    트리니티빌  방배로35길 35  서울특별시 서초구 방배동
3   1000.0        60    파밀리아빌  효령로27길 60  서울특별시 서초구 방배동
4  10000.0        90    트리니티빌  방배로35길 35  서울특별시 서초구 방배동"
1165010600,22,71.28,5,1996,"   deposit  pricemon    building          road           dong
0  15000.0        80  서초빌라(1551)  반포대로28길 21-4  서울특별시 서초구 서초동
1   2000.0       125     서초성우빌리지    서초대로73길 30  서울특별시 서초구 서초동
2   3000.0       130        서전빌라     잠원로 201-6  서울특별시 서초구 잠원동
3  15000.0        40  서초빌라(1551)  반포대로28길 21-4  서울특별시 서초구 서초동
4  20000.0       100        민유빌딩      서래로6길 17  서울특별시 서초구 반포동"
1165010100,7,24,2,2011,"   deposit  pricemon building         road           dong
0   3000.0        50  (919-8)    방배로13길 64  서울특별시 서초구 방배동
1  14000.0         5     바로스빌     동광로18길 9  서울특별시 서초구 방배동
2   1000.0        63    서래빌리지  방배로20길 34-6  서울특별시 서초구 방배동
3   5000.0        48    서래빌리지  방배로20길 34-6  서울특별시 서초구 방배동
4   1000.0        54     해비치빌   동광로8길 20-4  서울특별시 서초구 방배동"
1165010700,7,24.02,3,1996,"   deposit  pricemon  building           road           dong
0   1000.0        75    이스타하우스     반포대로23길 32  서울특별시 서초구 서초동
1   1000.0        50   (729-6)     주흥7길 10-31  서울특별시 서초구 반포동
2   1000.0        50  (720-24)     사평대로53길 82  서울특별시 서초구 반포동
3   1000.0        55      서림빌딩    명달로22길 33-4  서울특별시 서초구 서초동
4   1000.0        60     진우빌리지  서초대로48길 89-13  서울특별시 서초구 서초동"
1165010100,8,27.38,3,2016,"   deposit  pricemon  building           road           dong
0  12000.0        50      明正빌딩      효령로29길 23  서울특별시 서초구 방배동
1   5000.0        90       보나빌      청두곶15길 18  서울특별시 서초구 방배동
2   4000.0        85      서래힐스    방배로28길 29-6  서울특별시 서초구 방배동
3   2000.0        84  (858-21)  방배중앙로15길 7-17  서울특별시 서초구 방배동
4   2000.0        60   (824-3)        동광로8길 6  서울특별시 서초구 방배동"
1165010100,9,29.14,4,2019,"   deposit  pricemon     building       road           dong
0   2000.0       115           세경  방배로20길 28  서울특별시 서초구 방배동
1   8000.0        85           세경  방배로20길 28  서울특별시 서초구 방배동
2   8000.0        85           세경  방배로20길 28  서울특별시 서초구 방배동
3   5000.0        90  the TRINITY  효령로27길 28  서울특별시 서초구 방배동
4   3000.0        85     방배 프레스티지  동광로18길 70  서울특별시 서초구 방배동"
1165010200,8,25.64,2,2016,"   deposit  pricemon building          road           dong
0  12000.0        35  크리스탈팰리스     강남대로2길 76  서울특별시 서초구 양재동
1   3000.0       100     공간4차   논현로31길 50-6  서울특별시 서초구 양재동
2   5000.0        60  (385-7)      논현로1길 73  서울특별시 서초구 양재동
3  12000.0        60    양재아이힐  강남대로10길 60-5  서울특별시 서초구 양재동
4  20000.0        28    양재아이힐  강남대로10길 60-5  서울특별시 서초구 양재동"
1165010100,27,88.04,3,2002,"   deposit  pricemon  building           road           dong
0  32000.0        20  (879-19)  서초대로29길 22-18  서울특별시 서초구 방배동
1  32000.0        20  (879-19)  서초대로29길 22-18  서울특별시 서초구 방배동
2  20000.0        70       원빌라     서초대로32길 15  서울특별시 서초구 방배동
3  30000.0        37  현대파크빌라B동    동작대로 138-13  서울특별시 서초구 방배동
4  10000.0       100     트윈타워2     양재천로 109-2  서울특별시 서초구 양재동"
1165010200,17,56.59,4,2017,"   deposit  pricemon  building          road           dong
0   2000.0       120   파크뷰1971    마방로6길 8-51  서울특별시 서초구 양재동
1  20000.0        70     예그리나빌   동산로19길 30-6  서울특별시 서초구 양재동
2  15000.0        50   (464-4)    방배천로2안길 70  서울특별시 서초구 방배동
3  25000.0         5  방배아스톤하우스  서초대로30길 35-5  서울특별시 서초구 방배동
4  10000.0        60   아멜리아하우스     동광로14길 79  서울특별시 서초구 방배동"
1165010100,24,79.29,1,1997,"   deposit  pricemon  building          road           dong
0  10000.0       150     돌체하우스   서초대로32길 9-9  서울특별시 서초구 방배동
1   3000.0       135  (879-12)  서초대로29길 10-9  서울특별시 서초구 방배동
2  15000.0        55    양재아트빌라      언남18길 13  서울특별시 서초구 양재동
3  17000.0        40   (289-2)      논현로11길 9  서울특별시 서초구 양재동
4  10000.0        55      초원빌라      매헌로6길 30  서울특별시 서초구 양재동"
1165010200,5,17.075,3,2015,"   deposit  pricemon  building          road           dong
0   1000.0        50  이긍재(李肯齋)     매헌로14길 17  서울특별시 서초구 양재동
1   3000.0        47   (290-3)     논현로11길 29  서울특별시 서초구 양재동
2   2000.0        50      해피리움   양재천로 107-14  서울특별시 서초구 양재동
3   2000.0        55  (344-12)  강남대로6길 59-10  서울특별시 서초구 양재동
4   1000.0        65         .   마방로4길 15-25  서울특별시 서초구 양재동"
1165010600,12,39.25,2,2005,"   deposit  pricemon building            road           dong
0   2000.0        93      다인빌         잠원로 114  서울특별시 서초구 잠원동
1  21000.0         5       호빈  강남대로109길 73-35  서울특별시 서초구 잠원동
2  10000.0        83  (731-2)          주흥길 36  서울특별시 서초구 반포동
3  12000.0        10     훈아트빌   강남대로97길 49-11  서울특별시 서초구 잠원동
4  15000.0        40  (731-2)          주흥길 36  서울특별시 서초구 반포동"
1165010800,6,18.8,3,2016,"   deposit  pricemon      building            road           dong
0   1000.0        77          예당빌딩  남부순환로317길 82-7  서울특별시 서초구 서초동
1   1000.0        79   정산아트빌(가,나동)       사임당로1길 50  서울특별시 서초구 서초동
2   3000.0        55         아이리스빌  남부순환로337가길 3-6  서울특별시 서초구 서초동
3   3000.0        55         아이리스빌  남부순환로337가길 3-6  서울특별시 서초구 서초동
4   1000.0       110  두원에코타운(A,B동)       효령로52길 45  서울특별시 서초구 서초동"
1165010100,7,21.72,5,2019,"   deposit  pricemon  building          road           dong
0   1000.0        70       방배옥   방배로13길 41-6  서울특별시 서초구 방배동
1   5000.0        62      해담은빌  방배로20길 25-28  서울특별시 서초구 방배동
2   1000.0        50  (914-24)     효령로27길 19  서울특별시 서초구 방배동
3   2000.0        54  더 레전드 방배  방배로13길 53-16  서울특별시 서초구 방배동
4  23000.0       120     희선재21    서초대로24길 30  서울특별시 서초구 방배동"
1165010100,11,37.29,3,2013,"   deposit  pricemon  building           road           dong
0   3000.0        82  (855-15)   방배로25길 42-13  서울특별시 서초구 방배동
1   2000.0        85     우정하우스  서초대로28길 22-12  서울특별시 서초구 방배동
2   5000.0       100  (870-32)     서초대로19길 11  서울특별시 서초구 방배동
3   2000.0        80  (855-19)   방배로25길 42-25  서울특별시 서초구 방배동
4   3000.0        95  (856-27)   방배로25길 54-14  서울특별시 서초구 방배동"
1165010200,11,37.23,3,1995,"   deposit  pricemon  building           road           dong
0  13000.0        28   (372-5)        동산로8길 4  서울특별시 서초구 양재동
1   8000.0        40      양재빌라      양재천로9길 23  서울특별시 서초구 양재동
2   6000.0        45    (7-36)     바우뫼로41길 74  서울특별시 서초구 양재동
3   6000.0        50      대동빌라  강남대로16길 22-17  서울특별시 서초구 양재동
4   2000.0        60  (865-21)     방배천로 120-4  서울특별시 서초구 방배동"
