코드,평수,전용면적(㎡),층,건축년도,predicted
1138010300,4,12.56,3,2017,"   deposit  pricemon     building          road           dong
0    950.0        23    (445-172)  통일로92가길 20-7  서울특별시 은평구 불광동
1   2000.0        50      우진 베스트빌   통일로92다길 3-1  서울특별시 은평구 불광동
2   3500.0        40  파란채하우스 101동  통일로88길 15-19  서울특별시 은평구 불광동
3    800.0        23          구지집    통일로92가길 21  서울특별시 은평구 불광동
4   1000.0        45     클라인하우제갈현   통일로83길 5-18  서울특별시 은평구 갈현동"
1138010700,12,38.1,3,2014,"   deposit  pricemon building         road           dong
0    200.0        30   에스엠벨리체    연서로10길 12  서울특별시 은평구 역촌동
1   4000.0        60   메이플빌라트  연서로22길 5-10  서울특별시 은평구 대조동
2   3000.0        70  엘렌시아12차    진흥로1라길 11  서울특별시 은평구 역촌동
3   3000.0        65     리치캐슬  역말로4길 11-13  서울특별시 은평구 역촌동
4   2000.0        70   중앙하이츠빌  갈현로4길 43-14  서울특별시 은평구 역촌동"
1138010500,17,56.58,4,2014,"   deposit  pricemon        building          road           dong
0   5000.0        60           황금아트빌  서오릉로15길 16-4  서울특별시 은평구 구산동
1   5000.0        60           황금아트빌  서오릉로15길 16-4  서울특별시 은평구 구산동
2   1531.0        20  미리내 하우스(304-3)    서오릉로25가길 8  서울특별시 은평구 구산동
3    500.0        30     뉴아름빌(199-7)     서오릉로13길 4  서울특별시 은평구 구산동
4   3000.0        75            명지타운    통일로73길 3-6  서울특별시 은평구 대조동"
1138010700,14,46.07,6,2018,"   deposit  pricemon building          road           dong
0   1000.0        50      엘디아     역말로 83-29  서울특별시 은평구 역촌동
1   5000.0        80  O.K 팰리스    은평로4길 21-8  서울특별시 은평구 응암동
2   5000.0        60    대정쉐르빌    갈현로5길 14-1  서울특별시 은평구 역촌동
3   5000.0        70   세민하이파크     응암로 218-4  서울특별시 은평구 응암동
4   1996.0        17    다원하이빌  응암로34길 21-27  서울특별시 은평구 응암동"
1138010700,20,65.73,3,1994,"   deposit  pricemon       building           road           dong
0   2000.0        65           서안맨션        진흥로9길 8  서울특별시 은평구 역촌동
1   3000.0        70    세진빌라(84-12)  통일로71가길 10-13  서울특별시 은평구 대조동
2   2500.0        60           미성맨숀    응암로32길 21-7  서울특별시 은평구 응암동
3   5000.0        50  현대아트빌라(219-1)       연서로24길 4  서울특별시 은평구 대조동
4   3000.0        70           성호맨션        연서로6길 4  서울특별시 은평구 역촌동"
1138010800,11,36.57,3,1994,"   deposit  pricemon building          road           dong
0   3000.0        40     삼환빌라     진흥로1나길 13  서울특별시 은평구 역촌동
1   3000.0        40     삼환빌라     진흥로1나길 13  서울특별시 은평구 역촌동
2   1000.0        40     진주빌라      갈현로5길 22  서울특별시 은평구 역촌동
3   9000.0        10     삼환주택      진흥로1길 10  서울특별시 은평구 역촌동
4   1000.0        60  아남하이츠빌라  연서로3가길 15-15  서울특별시 은평구 역촌동"
1138010200,12,39.76,2,2016,"   deposit  pricemon building          road           dong
0  10000.0        40    영신하우징  연서로41가길 25-4  서울특별시 은평구 불광동
1   2388.0        20      건스빌   연서로40길 13-8  서울특별시 은평구 불광동
2   1500.0        78      한올채  은평로21길 14-20  서울특별시 은평구 녹번동
3   3000.0        62    삼우렉스빌     통일로 625-7  서울특별시 은평구 녹번동
4   2000.0        58   건우샹그리라     서오릉로6가길 6  서울특별시 은평구 녹번동"
1138010600,14,47.25,2,1995,"   deposit  pricemon          building          road           dong
0   3000.0        50              경일빌라     진흥로 119-2  서울특별시 은평구 대조동
1   3000.0        45      태양빌라(212-57)    연서로18길 9-9  서울특별시 은평구 대조동
2   3000.0        35            구산황금빌라  서오릉로15길 16-7  서울특별시 은평구 구산동
3   1000.0        45  동원궁하이츠빌라(583-40)   불광천길 420-14  서울특별시 은평구 응암동
4   6000.0        45             미성빌리지      불광로 16-8  서울특별시 은평구 대조동"
1138010600,11,37.63,3,2014,"   deposit  pricemon building         road           dong
0   4000.0        60   메이플빌라트  연서로22길 5-10  서울특별시 은평구 대조동
1   3000.0        60       대상    서오릉로 88-4  서울특별시 은평구 대조동
2   3000.0        60     금강블루   통일로75길 6-5  서울특별시 은평구 대조동
3   3000.0        60     금강블루   통일로75길 6-5  서울특별시 은평구 대조동
4  12000.0        10    광명쉐르빌  서오릉로10길 6-5  서울특별시 은평구 대조동"
1138010600,9,28.96,6,2019,"   deposit  pricemon       building          road           dong
0   2500.0        73  타미에코빌(215-34)     연서로22길 24  서울특별시 은평구 대조동
1   3000.0        60      산호팰리스(A동)    응암로5길 14-1  서울특별시 은평구 응암동
2   3000.0        60           예지타운       은평로6길 9  서울특별시 은평구 응암동
3   2000.0        70           트레비앙  가좌로10길 17-11  서울특별시 은평구 응암동
4   1000.0        60            연우림  연서로26길 15-17  서울특별시 은평구 대조동"
1138010800,16,53.8,2,2011,"   deposit  pricemon   building         road           dong
0   3000.0        70     로얄네이처빌  진흥로7나길 14-3  서울특별시 은평구 역촌동
1   3000.0        55  벽산홈타운(나동)   갈현로7길 5-10  서울특별시 은평구 역촌동
2   4000.0        50  벽산홈타운(나동)   갈현로7길 5-10  서울특별시 은평구 역촌동
3      0.0        35    (11-58)      연서로8길 7  서울특별시 은평구 역촌동
4   7000.0        55      베로니스빌   연서로4길 5-23  서울특별시 은평구 역촌동"
1138010900,15,50.67,2,2002,"   deposit  pricemon      building         road           dong
0   3000.0        35   꿈이있는집(1-82)  은평로3가길 10-1  서울특별시 은평구 신사동
1   3000.0        70  그레이스빌(34-10)   증산로19길 8-4  서울특별시 은평구 신사동
2   3000.0        50  두성쉐르빌(23-38)   증산로23길 6-4  서울특별시 은평구 신사동
3   1000.0        65   한스하우스(32-2)  증산로21길 15-4  서울특별시 은평구 신사동
4   5000.0        45   대성빌라(168-5)    증산로9길 5-5  서울특별시 은평구 증산동"
1138010800,9,29.82,4,2012,"   deposit  pricemon      building         road           dong
0   3000.0        55      청송평화하이맨션  연서로3나길 12-2  서울특별시 은평구 역촌동
1   1000.0        48         디엠하우스     진흥로 21-6  서울특별시 은평구 역촌동
2   2000.0        65      청송평화하이맨션  연서로3나길 12-2  서울특별시 은평구 역촌동
3   7000.0        20  에덴하우스(43-15)     진흥로 17-9  서울특별시 은평구 역촌동
4   3000.0        35         BN닛시빌  갈현로15길 7-39  서울특별시 은평구 역촌동"
1138010600,15,50.5,1,1993,"   deposit  pricemon      building          road           dong
0  12000.0        14           반가원    백련산로14길 23  서울특별시 은평구 응암동
1   3000.0        45  태양빌라(212-57)    연서로18길 9-9  서울특별시 은평구 대조동
2   1000.0        55   대성빌라(84-80)  통일로71길 24-38  서울특별시 은평구 대조동
3   3000.0        50          경일빌라     진흥로 119-2  서울특별시 은평구 대조동
4   1000.0        40          통일빌라    서오릉로 271-5  서울특별시 은평구 구산동"
1138010700,4,14.79,4,2013,"   deposit  pricemon      building         road           dong
0   1000.0        50    리모스튜디오(새절)     가좌로9길 26  서울특별시 은평구 응암동
1   1000.0        55    리모스튜디오(새절)     가좌로9길 26  서울특별시 은평구 응암동
2    500.0        35      (733-46)  가좌로7나길 27-5  서울특별시 은평구 응암동
3    500.0        30  노블하우스(753-5)     가좌로7길 28  서울특별시 은평구 응암동
4   1000.0        40      (195-11)    연서로28길 28  서울특별시 은평구 대조동"
1138010800,18,60.82,5,2009,"   deposit  pricemon  building         road           dong
0   5000.0        50       OK빌    증산로19길 28  서울특별시 은평구 신사동
1  12000.0        20  (237-10)  응암로22길 31-7  서울특별시 은평구 응암동
2   2000.0        90     우민렉스빌     연서로 67-1  서울특별시 은평구 역촌동
3   5000.0        50       예가네   응암로4길 18-6  서울특별시 은평구 응암동
4   3000.0        75      천지인빌     갈현로4길 25  서울특별시 은평구 역촌동"
1138010800,16,53,2,2002,"   deposit  pricemon       building         road           dong
0   6000.0        50         선정그랜드빌    진흥로1라길 14  서울특별시 은평구 역촌동
1   3000.0        35    꿈이있는집(1-82)  은평로3가길 10-1  서울특별시 은평구 신사동
2   4000.0        60        동명홈타운A동  응암로29길 14-1  서울특별시 은평구 응암동
3   3000.0        70   그레이스빌(34-10)   증산로19길 8-4  서울특별시 은평구 신사동
4   2000.0        75  응암월드빌(585-11)    가좌로 249-1  서울특별시 은평구 응암동"
1138010900,9,28.17,4,1997,"   deposit  pricemon       building         road           dong
0   7400.0        17    금호타운(48-39)    역말로 19-16  서울특별시 은평구 역촌동
1    500.0        40  삼성쉐르빌(29-134)   은평로2길 6-10  서울특별시 은평구 신사동
2   1000.0        50    한길빌라(10-24)   갈현로5길 5-10  서울특별시 은평구 신사동
3   2500.0        40   남전UN빌(28-44)   진흥로5길 6-30  서울특별시 은평구 역촌동
4  10000.0        15    태성빌라(40-26)  은평터널로 192-7  서울특별시 은평구 신사동"
