코드,평,전용면적(㎡),층,건축년도,predicted
1111017500,4,14.04,6,2013,"   deposit  pricemon    building          road            dong
0   3000.0        30       그레이스탑   종로65길 12-10   서울특별시 종로구 숭인동
1   1000.0        75         진덕재     성균관로4길 33  서울특별시 종로구 명륜2가
2   1000.0        65      (65-0)     성균관로6길 37  서울특별시 종로구 명륜2가
3   1000.0        45      (27-0)  창경궁로16길 33-3   서울특별시 종로구 연지동
4     60.0        32  주함해븐타워(1동)    종로31길 46-1   서울특별시 종로구 연지동"
1111016800,68,225.48,1,1982,"   deposit  pricemon    building        road           dong
0  26000.0        10      평창현대주택    평창21길 68  서울특별시 종로구 평창동
1  70000.0       100  데스떼빌리지(E동)   비봉길 68-24  서울특별시 종로구 구기동
2   3000.0       220    (237-16)  백석동길 11-20  서울특별시 종로구 부암동
3  10000.0        30     (104-1)   평창25길 8-4  서울특별시 종로구 평창동
4   5000.0       150        청구빌라     홍지문길 69  서울특별시 종로구 구기동"
1111014900,4,14.56,4,1997,"   deposit  pricemon building        road           dong
0   1000.0        40  (86-23)    창덕궁4길 14  서울특별시 종로구 원서동
1   1000.0        50     엘빌라트  창덕궁3길 33-6  서울특별시 종로구 원서동
2   5000.0        65   (78-6)    계동길 73-4   서울특별시 종로구 계동
3   5000.0        15  (4-168)    동숭4라길 33  서울특별시 종로구 동숭동
4  14000.0        20   (92-5)     창덕궁3길 4  서울특별시 종로구 원서동"
1111016800,7,21.94,4,2002,"   deposit  pricemon  building        road            dong
0   3000.0        50  (199-20)  이화장길 70-12   서울특별시 종로구 동숭동
1   3000.0        50  (199-20)  이화장길 70-12   서울특별시 종로구 동숭동
2   1000.0        35    (4-81)  동숭4라길 11-6   서울특별시 종로구 동숭동
3    500.0        50   (1-830)     명륜1길 12  서울특별시 종로구 명륜3가
4   7400.0        17    (25-8)     동숭3길 31   서울특별시 종로구 동숭동"
1111017400,9,31,2,1990,"   deposit  pricemon  building          road           dong
0   4000.0        59  (23-806)   지봉로11길 33-3  서울특별시 종로구 창신동
1    500.0        50  부암빌라(가동)   백석동길 286-20  서울특별시 종로구 부암동
2   2000.0        53   금강하이츠빌라      평창24길 18  서울특별시 종로구 평창동
3   3450.0        14     도시빌라A      창신5라길 26  서울특별시 종로구 창신동
4   4000.0        60      완성주택  세검정로7나길 42-4  서울특별시 종로구 신영동"
1111010200,10,32.49,2,1996,"   deposit  pricemon building          road           dong
0   1000.0        50   (38-9)    필운대로 110-5  서울특별시 종로구 신교동
1   2000.0        65  (17-41)  자하문로21길 23-4  서울특별시 종로구 신교동
2   1500.0        60    오케이공인      필운대로 108  서울특별시 종로구 신교동
3   1000.0        50   (38-9)    필운대로 110-5  서울특별시 종로구 신교동
4   2000.0        65     임강빌라    자하문로23길 13  서울특별시 종로구 신교동"
1111016000,5,17.14,9,2019,"   deposit  pricemon    building         road           dong
0     60.0        33  주함해븐타워(2동)   종로31길 46-1  서울특별시 종로구 연지동
1     60.0        37  주함해븐타워(3동)   창경궁로16길 30  서울특별시 종로구 연지동
2   3500.0        33       그레이스탑  종로65길 12-10  서울특별시 종로구 숭인동
3   5000.0        20       그레이스탑  종로65길 12-10  서울특별시 종로구 숭인동
4   2060.0        23  주함해븐타워(1동)   종로31길 46-1  서울특별시 종로구 연지동"
1111018600,16,53.1,2,2001,"   deposit  pricemon   building        road           dong
0   7000.0        50  (171-297)    사직로1길 11  서울특별시 종로구 행촌동
1   7000.0        60       소망빌라  송월1길 44-36  서울특별시 종로구 행촌동
2  11000.0        10      (1-3)     송월1길 72  서울특별시 종로구 행촌동
3   5000.0        60  (210-338)    사직로1다길 5  서울특별시 종로구 행촌동
4   5000.0        40      (7-1)     송월1길 60  서울특별시 종로구 행촌동"
1111018400,17,56.19,2,2004,"   deposit  pricemon   building         road           dong
0  14000.0        20     늘푸른 빌라    숭인동1가길 28  서울특별시 종로구 숭인동
1   7000.0        50  (171-297)     사직로1길 11  서울특별시 종로구 행촌동
2  15000.0        20         정암  자하문로 312-18  서울특별시 종로구 홍지동
3   3000.0        30   (72-203)     종로63길 26  서울특별시 종로구 숭인동
4  19500.0        10     늘푸른 빌라    숭인동1가길 28  서울특별시 종로구 숭인동"
1111018700,8,27.58,1,2012,"   deposit  pricemon building          road            dong
0   1000.0        50   성곽해오름빌    통일로18나길 23   서울특별시 종로구 무악동
1   3000.0        77     유빌리지  창경궁로26길 17-2  서울특별시 종로구 명륜4가
2   1000.0        45  (211-4)   평창문화로 72-26   서울특별시 종로구 평창동
3   2000.0        60  (33-17)   혜화로9길 24-13  서울특별시 종로구 명륜1가
4   1000.0        65   OXFORD     성균관로6길 36  서울특별시 종로구 명륜2가"
1111014900,10,33.57,2,1997,"   deposit  pricemon  building        road           dong
0   4000.0        45  (135-57)    창덕궁3가길 4  서울특별시 종로구 원서동
1   5000.0        55  (135-97)   창덕궁3나길 22  서울특별시 종로구 원서동
2   1000.0        60    안국메트로벨    북촌로 67-7  서울특별시 종로구 가회동
3   4500.0        50  (135-57)    창덕궁3가길 4  서울특별시 종로구 원서동
4   9000.0        25    (4-22)  창덕궁4길 45-3  서울특별시 종로구 원서동"
1111017500,21,69.62,3,2001,"   deposit  pricemon building        road            dong
0  15000.0        65   명지굿모닝빌  혜화로5길 41-4  서울특별시 종로구 명륜1가
1   1000.0        50   (5-21)   성균관로13길 4  서울특별시 종로구 명륜1가
2   3000.0        70     삼정타운    숭인동1나길 8   서울특별시 종로구 숭인동
3   5000.0        60  (518-1)   숭인동1나길 33   서울특별시 종로구 숭인동
4  12000.0        10    (7-2)    동숭4다길 13   서울특별시 종로구 동숭동"
