코드,평수,전용면적(㎡),층,건축년도,predicted
1123010600,18,60.43,3,2018,"   deposit  pricemon         building          road            dong
0    586.0        46  시온아트빌(301동302동)     한천로30길 12  서울특별시 동대문구 장안동
1  15000.0        50             브라운힐  장한로36길 23-12  서울특별시 동대문구 장안동
2    543.0        42  시온아트빌(301동302동)     한천로30길 12  서울특별시 동대문구 장안동
3    534.0        41  시온아트빌(401동402동)      한천로30길 8  서울특별시 동대문구 장안동
4   5752.0        17             제일빌라   장한로32길 23-1  서울특별시 동대문구 장안동"
1123010600,10,34.2,4,2016,"   deposit  pricemon       building          road            dong
0   5000.0        65           조양빌라   답십리로64길 107  서울특별시 동대문구 장안동
1   8000.0        50         THE하우스    답십리로68길 83  서울특별시 동대문구 장안동
2   2000.0        75           수하우스    천호대로81길 23  서울특별시 동대문구 장안동
3   7000.0        60  도원아트빌(439-11)    천호대로91길 70  서울특별시 동대문구 장안동
4   1912.0        25    서도휴빌(426-8)  천호대로83길 71-6  서울특별시 동대문구 장안동"
1123010400,5,16.74,3,2015,"   deposit  pricemon      building          road            dong
0   1000.0        55  이레뜰(103-139)   전농로37길 13-7  서울특별시 동대문구 전농동
1   5000.0        20      (152-27)  서울시립대로29길 32  서울특별시 동대문구 전농동
2   1000.0        50           오즈빌     전농로34길 26  서울특별시 동대문구 전농동
3   1000.0        45        마이바움전농     서울시립대로 34  서울특별시 동대문구 전농동
4   8500.0         7          레알현대  서울시립대로 112-1  서울특별시 동대문구 전농동"
1123010200,9,29.86,5,2017,"   deposit  pricemon    building        road            dong
0   2000.0        85       에덴하우스  천호대로31길 59  서울특별시 동대문구 용두동
1   1000.0        60  파라네(67-29)    제기로4길 14  서울특별시 동대문구 제기동
2   1000.0        70    KY TOWER      왕산로 45  서울특별시 동대문구 용두동
3   1000.0        50    KY TOWER      왕산로 45  서울특별시 동대문구 용두동
4   1000.0        80        에코시티    고산자로 521  서울특별시 동대문구 제기동"
1123010600,20,65.46,4,2018,"   deposit  pricemon         building         road            dong
0    603.0        47  시온아트빌(401동402동)     한천로30길 8  서울특별시 동대문구 장안동
1    603.0        48  시온아트빌(201동202동)     한천로28길 9  서울특별시 동대문구 장안동
2    578.0        48              위드빌  한천로32길 36-1  서울특별시 동대문구 장안동
3    578.0        45  시온아트빌(201동202동)     한천로28길 9  서울특별시 동대문구 장안동
4    664.0        52  시온아트빌(201동202동)     한천로28길 9  서울특별시 동대문구 장안동"
1123010800,16,53.92,4,2002,"   deposit  pricemon     building          road             dong
0  10000.0        10     (102-31)    회기로10가길 18   서울특별시 동대문구 회기동
1   4000.0        70        덕흥홈타운  회기로23다길 19-2   서울특별시 동대문구 회기동
2  18500.0        10       경동그린타운      홍릉로18길 5  서울특별시 동대문구 청량리동
3  10000.0        30  휘경동근생및다세대주택     망우로21길 39   서울특별시 동대문구 휘경동
4  16000.0        10       동일아트맨션   제기로33길 7-14  서울특별시 동대문구 청량리동"
1123011000,16,53.38,3,1994,"   deposit  pricemon  building          road            dong
0    250.0        25   (86-19)  외대역동로12가길 17  서울특별시 동대문구 이문동
1   6000.0        40      부남주택    망우로14가길 19  서울특별시 동대문구 휘경동
2   6000.0        40      부남주택    망우로14가길 19  서울특별시 동대문구 휘경동
3   4800.0        40      평안빌라   망우로18가길 112  서울특별시 동대문구 휘경동
4    500.0        25  (86-117)    외대역동로18길 5  서울특별시 동대문구 이문동"
1123010300,12,40.6,3,2013,"   deposit  pricemon building        road            dong
0   1000.0        48  (971-4)  약령중앙로 34-3  서울특별시 동대문구 제기동
1   6000.0        50   39-754  천호대로31길 20  서울특별시 동대문구 용두동
2   6000.0        50   39-754  천호대로31길 20  서울특별시 동대문구 용두동
3   7000.0        80     송봉파크  왕산로19마길 16  서울특별시 동대문구 제기동
4   1000.0        75    풀 하우스  천호대로33길 69  서울특별시 동대문구 용두동"
1123010900,19,63.84,1,1997,"   deposit  pricemon   building          road             dong
0    200.0        20        30동     한천로49길 20   서울특별시 동대문구 휘경동
1   2000.0        50  (312-149)      망우로4길 23   서울특별시 동대문구 휘경동
2  10000.0        40   휘경동다세대주택  망우로20가길 30-1   서울특별시 동대문구 휘경동
3   1000.0        35  (103-199)    회기로12나길 26   서울특별시 동대문구 회기동
4    300.0        30       하이트빌     왕산로47길 53  서울특별시 동대문구 청량리동"
1123010600,18,58.9,5,2018,"   deposit  pricemon         building       road            dong
0   6352.0        19  시온아트빌(301동302동)  한천로30길 12  서울특별시 동대문구 장안동
1   6412.0        20  시온아트빌(101동102동)   한천로28길 5  서울특별시 동대문구 장안동
2   3000.0        31  시온아트빌(301동302동)  한천로30길 12  서울특별시 동대문구 장안동
3    534.0        41  시온아트빌(401동402동)   한천로30길 8  서울특별시 동대문구 장안동
4   6864.0        21  시온아트빌(201동202동)   한천로28길 9  서울특별시 동대문구 장안동"
1123010100,4,14.52,4,2014,"   deposit  pricemon  building        road            dong
0   4000.0        24  MAI BAUM   왕산로 21-15  서울특별시 동대문구 신설동
1   3000.0        35  MAI BAUM   왕산로 21-15  서울특별시 동대문구 신설동
2   3000.0        35  MAI BAUM   왕산로 21-15  서울특별시 동대문구 신설동
3   1000.0        45  MAI BAUM   왕산로 21-15  서울특별시 동대문구 신설동
4   2000.0        40     에덴하우스  천호대로31길 59  서울특별시 동대문구 용두동"
1123010600,17,56.93,3,2018,"   deposit  pricemon         building          road            dong
0    586.0        46  시온아트빌(301동302동)     한천로30길 12  서울특별시 동대문구 장안동
1    543.0        42  시온아트빌(301동302동)     한천로30길 12  서울특별시 동대문구 장안동
2  15000.0        50             브라운힐  장한로36길 23-12  서울특별시 동대문구 장안동
3    534.0        41  시온아트빌(401동402동)      한천로30길 8  서울특별시 동대문구 장안동
4   5752.0        17             제일빌라   장한로32길 23-1  서울특별시 동대문구 장안동"
1123010300,33,107.64,2,2002,"   deposit  pricemon building          road             dong
0   5000.0        65    청재빌라트   답십리로23나길 37   서울특별시 동대문구 전농동
1  21000.0        20     삼경빌라  서울시립대로16길 74   서울특별시 동대문구 전농동
2   5000.0       150   태종빌하우스     왕산로19마길 3   서울특별시 동대문구 제기동
3   2000.0        70     우성맨션     한천로17길 20  서울특별시 동대문구 답십리동
4   3000.0        90    리첸빌리지     제기로4다길 18   서울특별시 동대문구 제기동"
1123010600,14,45.76,2,2018,"   deposit  pricemon     building          road            dong
0   4862.0        11  서도휴빌(392-9)  답십리로66길 75-5  서울특별시 동대문구 장안동
1   2044.0        27      삼화에코빌2차   답십리로65길 114  서울특별시 동대문구 장안동
2   3463.0        13      삼화에코빌2차   답십리로65길 114  서울특별시 동대문구 장안동
3    448.0        47         제일빌라   장한로32길 23-1  서울특별시 동대문구 장안동
4   2102.0        27        담터하우스   사가정로25가길 31  서울특별시 동대문구 장안동"
1123011000,5,15.96,6,2019,"   deposit  pricemon  building        road            dong
0   2000.0        80      성원빌딩   이문로30길 20  서울특별시 동대문구 이문동
1    500.0        60  (309-20)    휘경로 26-9  서울특별시 동대문구 이문동
2   3000.0        80      성원빌딩   이문로30길 20  서울특별시 동대문구 이문동
3   5000.0        30  (309-20)    휘경로 26-9  서울특별시 동대문구 이문동
4   1000.0        50   (77-21)  휘경로17길 7-4  서울특별시 동대문구 이문동"
1123010300,4,12.24,6,2015,"   deposit  pricemon building        road            dong
0   1000.0        50   브라운하우스  왕산로19라길 27  서울특별시 동대문구 제기동
1   1000.0        50   브라운하우스  왕산로19라길 27  서울특별시 동대문구 제기동
2   7000.0        20     후암주택  고산자로44길 15  서울특별시 동대문구 제기동
3   1000.0        55    에덴하우스  천호대로31길 59  서울특별시 동대문구 용두동
4   1500.0        43   브라운하우스  왕산로19라길 27  서울특별시 동대문구 제기동"
1123010600,14,47.2,2,2009,"   deposit  pricemon     building           road            dong
0   3000.0        85    wow house    답십리로64길 111  서울특별시 동대문구 장안동
1   7700.0        46          골든빌  답십리로69가길 12-4  서울특별시 동대문구 장안동
2  12000.0        40        다원아트빌     천호대로83길 78  서울특별시 동대문구 장안동
3  12000.0        60  모던하임(406-1)    한천로6길 47-12  서울특별시 동대문구 장안동
4   6000.0        75  모던하임(406-1)    한천로6길 47-12  서울특별시 동대문구 장안동"
1123010400,11,36.15,3,2019,"   deposit  pricemon  building          road            dong
0  12000.0        40  (103-39)  전농로38나길 17-3  서울특별시 동대문구 전농동
1  10000.0        34  (213-12)  서울시립대로16길 26  서울특별시 동대문구 전농동
2   2000.0        50  (212-15)    답십리로23나길 8  서울특별시 동대문구 전농동
3   7000.0        60  (103-39)  전농로38나길 17-3  서울특별시 동대문구 전농동
4   3000.0        75       모두가  서울시립대로16길 11  서울특별시 동대문구 전농동"
1123011000,9,29.66,4,2019,"   deposit  pricemon          building          road            dong
0   2000.0        50           264-227  천장산로7길 18-14  서울특별시 동대문구 이문동
1   1000.0        50          (346-55)     회기로25길 92  서울특별시 동대문구 이문동
2    500.0        50          (264-47)    천장산로 40-11  서울특별시 동대문구 이문동
3   3000.0        90            프라움하우스  천장산로9가길 28-1  서울특별시 동대문구 이문동
4   3000.0        55  PRORSUM(183-440)      이문로6길 10  서울특별시 동대문구 휘경동"
1123010300,6,18.9,4,2013,"   deposit  pricemon building          road            dong
0   1000.0        55    에이스빌딩     왕산로19길 46  서울특별시 동대문구 제기동
1   1000.0        55    에이스빌딩     왕산로19길 46  서울특별시 동대문구 제기동
2   1000.0        45   브라운하우스    왕산로19라길 27  서울특별시 동대문구 제기동
3   1000.0        45   브라운하우스    왕산로19라길 27  서울특별시 동대문구 제기동
4   4500.0         6        준  고산자로44길 16-2  서울특별시 동대문구 제기동"
1123010200,6,20.27,4,2013,"   deposit  pricemon building          road            dong
0    500.0        50    신승아트빌     천호대로 78-1  서울특별시 동대문구 용두동
1   4000.0        35    에덴하우스    천호대로31길 59  서울특별시 동대문구 용두동
2   2000.0        40    에덴하우스    천호대로31길 59  서울특별시 동대문구 용두동
3   1000.0        55    에이스빌딩     왕산로19길 46  서울특별시 동대문구 제기동
4    500.0        30     세아빌2  천호대로13길 59-3  서울특별시 동대문구 용두동"
1123011000,13,42.03,2,2015,"   deposit  pricemon  building        road            dong
0   2823.0        24  휘경동해마루빌2  망우로14가길 16  서울특별시 동대문구 휘경동
1    500.0        50  (264-47)  천장산로 40-11  서울특별시 동대문구 이문동
2  17000.0        10     민족통일빌   이문로19길 19  서울특별시 동대문구 이문동
3    500.0        35   308-127   망우로10길 33  서울특별시 동대문구 휘경동
4   4588.0         4  휘경동해마루빌1   망우로12길 42  서울특별시 동대문구 휘경동"
1123010600,7,22.81,3,2018,"   deposit  pricemon  building        road            dong
0   2000.0        70      노블하임  천호대로79길 45  서울특별시 동대문구 장안동
1   1000.0        70      노블하임  천호대로79길 45  서울특별시 동대문구 장안동
2   1500.0        70        민성  천호대로 79-41  서울특별시 동대문구 장안동
3    500.0        55  (341-24)  장한로26나길 41  서울특별시 동대문구 장안동
4   1000.0        74      수하우스  천호대로81길 23  서울특별시 동대문구 장안동"
1123010600,14,45.11,2,2014,"   deposit  pricemon building           road            dong
0  12000.0        40    다원아트빌     천호대로83길 78  서울특별시 동대문구 장안동
1   5000.0        80     현대캐슬      장한로34길 29  서울특별시 동대문구 장안동
2   2044.0        27  삼화에코빌2차    답십리로65길 114  서울특별시 동대문구 장안동
3   3463.0        13  삼화에코빌2차    답십리로65길 114  서울특별시 동대문구 장안동
4   7700.0        46      골든빌  답십리로69가길 12-4  서울특별시 동대문구 장안동"
1123010300,15,49.33,3,2002,"   deposit  pricemon  building          road            dong
0   3000.0        50      삼성타운     약령시로3길 26  서울특별시 동대문구 제기동
1   4000.0        40  (120-22)  고산자로52길 47-1  서울특별시 동대문구 제기동
2   7000.0        45     상헌씨티빌   서울시립대로21길 4  서울특별시 동대문구 전농동
3   1000.0        70      삼성타운     약령시로3길 26  서울특별시 동대문구 제기동
4   9000.0        30       해오름   약령시로5길 22-4  서울특별시 동대문구 제기동"
1123011000,5,15.99,2,2015,"   deposit  pricemon   building          road            dong
0   4000.0        35  (264-459)  천장산로9가길 28-6  서울특별시 동대문구 이문동
1   2000.0        40      혜성하우스     천장산로4가길 3  서울특별시 동대문구 이문동
2   5000.0        30  (264-459)  천장산로9가길 28-6  서울특별시 동대문구 이문동
3   1000.0        45   (346-37)     이문로13길 18  서울특별시 동대문구 이문동
4   5000.0        30    256-222      신이문로6길 5  서울특별시 동대문구 이문동"
1123010600,8,27.27,8,2019,"   deposit  pricemon  building           road             dong
0  25000.0        15   성우스타팰리스       장한로2길 80   서울특별시 동대문구 장안동
1   3000.0        50  (317-15)  답십리로69가길 12-5   서울특별시 동대문구 장안동
2   5000.0        60      동양캐슬     천호대로91길 52   서울특별시 동대문구 장안동
3  10000.0        18     중앙애플비       홍릉로8길 28  서울특별시 동대문구 청량리동
4   3000.0        40      보광타워                 서울특별시 동대문구 답십리동"
1123010600,17,56.46,3,1982,"   deposit  pricemon   building         road            dong
0   3000.0        30  부용(341-1)    장한로24길 26  서울특별시 동대문구 장안동
1    500.0        40  부용(341-1)    장한로24길 26  서울특별시 동대문구 장안동
2   2000.0        55  중앙(349-4)   장한로26다길 97  서울특별시 동대문구 장안동
3   2000.0        60  로얄(318-5)  답십리로69길 117  서울특별시 동대문구 장안동
4  11000.0        20    대명(448)   천호대로85길 46  서울특별시 동대문구 장안동"
1123010900,12,40.8,3,1991,"   deposit  pricemon   building         road            dong
0   1000.0        65  (308-137)  망우로10길 47-3  서울특별시 동대문구 휘경동
1    500.0        25   (86-117)   외대역동로18길 5  서울특별시 동대문구 이문동
2    900.0        60       청암빌라     휘경로2길 25  서울특별시 동대문구 이문동
3   4800.0        40       평안빌라  망우로18가길 112  서울특별시 동대문구 휘경동
4   9000.0        30       부남주택   망우로14가길 19  서울특별시 동대문구 휘경동"
1123010600,16,51.77,5,2018,"   deposit  pricemon         building         road            dong
0    517.0        54             제일빌라  장한로32길 23-1  서울특별시 동대문구 장안동
1   6957.0        22             제일빌라  장한로32길 23-1  서울특별시 동대문구 장안동
2    517.0        54             제일빌라  장한로32길 23-1  서울특별시 동대문구 장안동
3    534.0        41  시온아트빌(401동402동)     한천로30길 8  서울특별시 동대문구 장안동
4   3000.0        31  시온아트빌(301동302동)    한천로30길 12  서울특별시 동대문구 장안동"
1123010300,48,158.065,2,1981,"   deposit  pricemon building          road             dong
0   5000.0        65    청재빌라트   답십리로23나길 37   서울특별시 동대문구 전농동
1   2000.0        70     우성맨션     한천로17길 20  서울특별시 동대문구 답십리동
2   1000.0        50  (118-1)   외대역동로14길 48   서울특별시 동대문구 휘경동
3  21000.0        20     삼경빌라  서울시립대로16길 74   서울특별시 동대문구 전농동
4   7000.0        60      21동     한천로51길 40   서울특별시 동대문구 휘경동"
1123010400,6,18.55,12,2015,"   deposit  pricemon building     road            dong
0   1000.0        58    듀오196  왕산로 244  서울특별시 동대문구 전농동
1   2000.0        50    듀오196  왕산로 244  서울특별시 동대문구 전농동
2   3000.0        45    듀오196  왕산로 244  서울특별시 동대문구 전농동
3   7000.0        28    듀오196  왕산로 244  서울특별시 동대문구 전농동
4   2000.0        48    듀오196  왕산로 244  서울특별시 동대문구 전농동"
1123010200,4,12.16,2,2012,"   deposit  pricemon        building          road            dong
0    500.0        30            세아빌2  천호대로13길 59-3  서울특별시 동대문구 용두동
1   1000.0        40            세아빌1     무학로35길 19  서울특별시 동대문구 용두동
2   3000.0        35           에덴하우스    천호대로31길 59  서울특별시 동대문구 용두동
3   1000.0        34       (102-190)     무학로34가길 3  서울특별시 동대문구 용두동
4   1000.0        45  (102-199)라테라스빌    천호대로17길 50  서울특별시 동대문구 용두동"
1123010600,15,49.06,3,2018,"   deposit  pricemon         building          road            dong
0   2039.0        27    리움펠리체(341-19)   장한로24길 30-9  서울특별시 동대문구 장안동
1   5046.0        11            담터하우스   사가정로25가길 31  서울특별시 동대문구 장안동
2    300.0        41      서도휴빌(426-8)  천호대로83길 71-6  서울특별시 동대문구 장안동
3    150.0        26      서도휴빌(426-8)  천호대로83길 71-6  서울특별시 동대문구 장안동
4   5209.0        16  시온아트빌(301동302동)     한천로30길 12  서울특별시 동대문구 장안동"
1123010600,18,59.97,4,2018,"   deposit  pricemon         building         road            dong
0    578.0        48              위드빌  한천로32길 36-1  서울특별시 동대문구 장안동
1    578.0        45  시온아트빌(201동202동)     한천로28길 9  서울특별시 동대문구 장안동
2    603.0        48  시온아트빌(201동202동)     한천로28길 9  서울특별시 동대문구 장안동
3    603.0        47  시온아트빌(401동402동)     한천로30길 8  서울특별시 동대문구 장안동
4  10000.0        65          조일티아모3차  장한로30길 23-2  서울특별시 동대문구 장안동"
1123010600,21,67.98,3,2018,"   deposit  pricemon         building         road            dong
0    690.0        54  시온아트빌(101동102동)     한천로28길 5  서울특별시 동대문구 장안동
1    603.0        47  시온아트빌(401동402동)     한천로30길 8  서울특별시 동대문구 장안동
2    603.0        48  시온아트빌(201동202동)     한천로28길 9  서울특별시 동대문구 장안동
3    586.0        46  시온아트빌(301동302동)    한천로30길 12  서울특별시 동대문구 장안동
4    578.0        48              위드빌  한천로32길 36-1  서울특별시 동대문구 장안동"
1123010600,14,46.47,2,2017,"   deposit  pricemon     building          road            dong
0   2044.0        27      삼화에코빌2차   답십리로65길 114  서울특별시 동대문구 장안동
1   3463.0        13      삼화에코빌2차   답십리로65길 114  서울특별시 동대문구 장안동
2   4862.0        11  서도휴빌(392-9)  답십리로66길 75-5  서울특별시 동대문구 장안동
3   2102.0        27        담터하우스   사가정로25가길 31  서울특별시 동대문구 장안동
4   5000.0        80         현대캐슬     장한로34길 29  서울특별시 동대문구 장안동"
1123011000,4,14.45,7,2017,"   deposit  pricemon  building       road            dong
0   5000.0        30  (309-20)   휘경로 26-9  서울특별시 동대문구 이문동
1   3000.0        80      성원빌딩  이문로30길 20  서울특별시 동대문구 이문동
2    500.0        60  (309-20)   휘경로 26-9  서울특별시 동대문구 이문동
3   2000.0        80      성원빌딩  이문로30길 20  서울특별시 동대문구 이문동
4   4000.0        30      그린타워     이문로 50  서울특별시 동대문구 휘경동"
1123010300,4,13.2,3,2001,"   deposit  pricemon        building         road            dong
0    500.0        45              청양     회기로2길 16  서울특별시 동대문구 제기동
1   1000.0        43              청양     회기로2길 16  서울특별시 동대문구 제기동
2   9000.0         5             미니빌  무학로34길 43-4  서울특별시 동대문구 용두동
3   2000.0        40        (148-46)      약령시로 13  서울특별시 동대문구 제기동
4    500.0        35  MAI BAUM RODEM        종암로 2  서울특별시 동대문구 제기동"
1123010600,17,55.69,2,2018,"   deposit  pricemon         building      road            dong
0   5473.0        16  시온아트빌(201동202동)  한천로28길 9  서울특별시 동대문구 장안동
1    543.0        41  시온아트빌(201동202동)  한천로28길 9  서울특별시 동대문구 장안동
2    543.0        42  시온아트빌(401동402동)  한천로30길 8  서울특별시 동대문구 장안동
3    560.0        43  시온아트빌(401동402동)  한천로30길 8  서울특별시 동대문구 장안동
4    560.0        42  시온아트빌(201동202동)  한천로28길 9  서울특별시 동대문구 장안동"
1123010600,17,55.49,2,2018,"   deposit  pricemon         building         road            dong
0    543.0        41  시온아트빌(201동202동)     한천로28길 9  서울특별시 동대문구 장안동
1   5473.0        16  시온아트빌(201동202동)     한천로28길 9  서울특별시 동대문구 장안동
2    543.0        42  시온아트빌(401동402동)     한천로30길 8  서울특별시 동대문구 장안동
3    560.0        43  시온아트빌(401동402동)     한천로30길 8  서울특별시 동대문구 장안동
4    552.0        56             제일빌라  장한로32길 23-1  서울특별시 동대문구 장안동"
1123010900,4,12.24,8,2013,"   deposit  pricemon  building       road            dong
0   4000.0        30      그린타워     이문로 50  서울특별시 동대문구 휘경동
1   2000.0        40      그린타워     이문로 50  서울특별시 동대문구 휘경동
2   4000.0        30      그린타워     이문로 50  서울특별시 동대문구 휘경동
3   5000.0        30  (309-20)   휘경로 26-9  서울특별시 동대문구 이문동
4   3000.0        80      성원빌딩  이문로30길 20  서울특별시 동대문구 이문동"
1123010400,11,36.15,3,2019,"   deposit  pricemon  building          road            dong
0  12000.0        40  (103-39)  전농로38나길 17-3  서울특별시 동대문구 전농동
1  10000.0        34  (213-12)  서울시립대로16길 26  서울특별시 동대문구 전농동
2   2000.0        50  (212-15)    답십리로23나길 8  서울특별시 동대문구 전농동
3   7000.0        60  (103-39)  전농로38나길 17-3  서울특별시 동대문구 전농동
4   3000.0        75       모두가  서울시립대로16길 11  서울특별시 동대문구 전농동"
1123010600,17,56.4,3,2009,"   deposit  pricemon       building         road            dong
0   2000.0        95          광원빌라트   답십리로64길 96  서울특별시 동대문구 장안동
1  10000.0        60      wow house  답십리로64길 111  서울특별시 동대문구 장안동
2   3000.0        85      wow house  답십리로64길 111  서울특별시 동대문구 장안동
3   3000.0        85          현대그린빌   천호대로91길 48  서울특별시 동대문구 장안동
4    500.0        30  청솔브레싱빌(406-2)  천호대로77가길 18  서울특별시 동대문구 장안동"
1123010400,8,26.1,2,2019,"   deposit  pricemon  building          road            dong
0   2000.0        80  (126-72)     전농로31길 32  서울특별시 동대문구 전농동
1   7000.0        60  (103-39)  전농로38나길 17-3  서울특별시 동대문구 전농동
2   2000.0        50  (212-15)    답십리로23나길 8  서울특별시 동대문구 전농동
3   3000.0        75       모두가  서울시립대로16길 11  서울특별시 동대문구 전농동
4   5000.0        25     221-5  전농로27길 91-15  서울특별시 동대문구 전농동"
