코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1111017300,12,41.22,4,1994,"   deposit   building         road           dong
0  10000.0   (627-23)    낙산성곽동길 53  서울특별시 종로구 창신동
1  16000.0    (103-1)   대학로5길 20-3  서울특별시 종로구 연건동
2  12000.0   (210-91)  사직로1나길 43-1  서울특별시 종로구 행촌동
3  18000.0  (210-349)   사직로1라길 2-2  서울특별시 종로구 행촌동
4  14000.0   (210-96)  통일로12길 74-4  서울특별시 종로구 행촌동",12020
1111016800,18,59.04,4,1998,"   deposit building       road            dong
0  12500.0   (4-54)    동숭4길 70   서울특별시 종로구 동숭동
1  25000.0   (16-0)    동숭4나길 1   서울특별시 종로구 동숭동
2  20000.0   (6-15)   동숭4나길 23   서울특별시 종로구 동숭동
3  16000.0     성대빌라    명륜4길 11  서울특별시 종로구 명륜3가
4  15000.0       두원  창신7길 14-3   서울특별시 종로구 창신동",18420
1111010200,14,46.49,2,1996,"   deposit     building        road           dong
0  20000.0      (17-18)  자하문로23길 15  서울특별시 종로구 신교동
1  22000.0  (50-1)청운피아노     자하문로 79  서울특별시 종로구 신교동
2  23000.0        수만빌리지  필운대로 112-4  서울특별시 종로구 신교동
3  23000.0         누상빌딩    옥인길 23-6  서울특별시 종로구 누상동
4  26000.0       (17-3)  자하문로21길 10  서울특별시 종로구 신교동",20540
1111010900,11,35.2,2,2001,"   deposit building           road           dong
0  17800.0    드림하이빌  필운대로5다길 12-10  서울특별시 종로구 누상동
1  14000.0   (27-0)         옥인3길 8  서울특별시 종로구 누상동
2  24000.0    옥인하우스      자하문로17길 6  서울특별시 종로구 옥인동
3  24000.0    옥인하우스      자하문로17길 6  서울특별시 종로구 옥인동
4  25000.0     평화빌라   자하문로1나길 13-5  서울특별시 종로구 체부동",14594
1111016800,12,39.75,-1,1997,"   deposit     building         road            dong
0   4000.0         송강원룸     명륜1길 7-5  서울특별시 종로구 명륜3가
1   4000.0         송강원룸     명륜1길 7-5  서울특별시 종로구 명륜3가
2   7000.0           두원    창신7길 14-3   서울특별시 종로구 창신동
3   7700.0    (210-422)  통일로12길 68-6   서울특별시 종로구 행촌동
4  10000.0  청담주택(93-13)     대학로5길 16   서울특별시 종로구 연건동",10009.16667
1111017300,9,28.5,1,1997,"   deposit  building         road            dong
0   8000.0      보물빌라     숭인동1길 33   서울특별시 종로구 숭인동
1   8000.0   (4-101)  동숭4라길 17-18   서울특별시 종로구 동숭동
2  11000.0  (226-17)    창신5길 54-6   서울특별시 종로구 창신동
3   8800.0    (1-89)      명륜4길 12  서울특별시 종로구 명륜3가
4    500.0  (629-52)   창신7길 14-12   서울특별시 종로구 창신동",8826
1111016600,11,36.8,4,1995,"   deposit  building        road            dong
0  16000.0   (103-1)  대학로5길 20-3   서울특별시 종로구 연건동
1  10000.0  (627-23)   낙산성곽동길 53   서울특별시 종로구 창신동
2  17000.0     (6-6)  동숭4나길 23-4   서울특별시 종로구 동숭동
3  11000.0    (85-2)  대학로5가길 3-4   서울특별시 종로구 연건동
4  16000.0      성대빌라     명륜4길 11  서울특별시 종로구 명륜3가",13519
1111017400,16,53.42,4,1997,"   deposit building       road            dong
0  16000.0     성대빌라    명륜4길 11  서울특별시 종로구 명륜3가
1  20000.0   (6-15)   동숭4나길 23   서울특별시 종로구 동숭동
2  25000.0   (16-0)    동숭4나길 1   서울특별시 종로구 동숭동
3  15000.0       두원  창신7길 14-3   서울특별시 종로구 창신동
4  12500.0   (4-54)    동숭4길 70   서울특별시 종로구 동숭동",16231.66667
1111011500,10,31.93,4,2002,"   deposit   building          road           dong
0  15000.0       이화주택    사직로5길 24-1  서울특별시 종로구 사직동
1  16000.0       청마F동  필운대로5나길 20-3  서울특별시 종로구 누상동
2   8000.0  ClassicVL      필운대로7길 6  서울특별시 종로구 옥인동
3  23000.0      옥인하우스     자하문로17길 6  서울특별시 종로구 옥인동
4  10000.0    (287-0)      사직로5길 29  서울특별시 종로구 사직동",10673
1111018300,27,89.92,3,1993,"   deposit  building        road           dong
0  28000.0  (345-62)      평창길 40  서울특별시 종로구 평창동
1  35000.0      보현빌라     홍지문길 51  서울특별시 종로구 홍지동
2  33000.0      금강주택  평창12길 8-22  서울특별시 종로구 평창동
3  33000.0      금강주택  평창12길 8-22  서울특별시 종로구 평창동
4  32000.0      금강주택  평창12길 8-22  서울특별시 종로구 평창동",31447.07143
