코드,평수,전용면적(㎡),층,건축년도,predicted,predicted price
1130510300,10,34.175,4,2018,"   deposit         building           road           dong
0  15000.0             신성캐슬      노해로33길 21  서울특별시 강북구 수유동
1  25000.0  하나아이파크빌(281-45)     4.19로1길 28  서울특별시 강북구 수유동
2  19500.0            기산에코빌  인수봉로55길 15-24  서울특별시 강북구 수유동
3   7500.0           그린힐빌리지      노해로33길 54  서울특별시 강북구 수유동
4  22000.0             루미에르     한천로172가길 1  서울특별시 강북구 수유동",19683
1130510100,13,43.01,1,1996,"   deposit   building           road           dong
0  11000.0     한림그린빌라    솔샘로59길 15-4  서울특별시 강북구 미아동
1  11000.0       송천빌라   솔샘로64나길 52-3  서울특별시 강북구 미아동
2   9000.0  (636-108)       숭인로7길 45  서울특별시 강북구 미아동
3  10000.0       스타맨숀      도봉로18길 48  서울특별시 강북구 미아동
4  10000.0        연빌라  솔샘로64나길 32-11  서울특별시 강북구 미아동",11392
1130510100,17,54.92,2,2015,"   deposit   building           road           dong
0  20000.0      금강에뜨레    삼양로63길 13-4  서울특별시 강북구 미아동
1  19000.0  (734-145)    삼양로38길 21-4  서울특별시 강북구 미아동
2  21000.0      중앙홈타운    인수봉로20나길 56  서울특별시 강북구 미아동
3  32500.0    성훈팰리스B동      도봉로31길 21  서울특별시 강북구 미아동
4  26000.0      히람팰리스  오패산로30길 18-13  서울특별시 강북구 미아동",20226
1130510100,10,33.74,-1,1994,"   deposit        building          road           dong
0   5000.0              삼진    도봉로28나길 16  서울특별시 강북구 미아동
1   6000.0  삼성빌라(1264-211)     삼양로 132-3  서울특별시 강북구 미아동
2   4000.0        (416-71)  솔샘로64나길 38-3  서울특별시 강북구 미아동
3  10000.0           양지빌라트      숭인로7길 15  서울특별시 강북구 미아동
4   4000.0      (1264-208)   삼양로22길 23-1  서울특별시 강북구 미아동",5243
1130510200,9,29.75,3,1994,"   deposit       building           road          dong
0   5800.0  창헌주택(148-261)     오현로25마길 51  서울특별시 강북구 번동
1   4000.0           사방빌라       오현로25길 6  서울특별시 강북구 번동
2   5500.0           창헌주택     오현로25나길 29  서울특별시 강북구 번동
3   7000.0           효성빌라  오현로21길 132-12  서울특별시 강북구 번동
4   6000.0  광신주택(148-277)      오현로25길 91  서울특별시 강북구 번동",6585
1130510100,16,53.31,5,2018,"   deposit        building         road           dong
0  29500.0          유경쉐르빌3  인수봉로20나길 38  서울특별시 강북구 미아동
1  25000.0           자이홈타운     솔매로 78-4  서울특별시 강북구 미아동
2  26600.0            초이스빌    삼양로57가길 6  서울특별시 강북구 미아동
3  15000.0  삼성레드빌A동(719-6)   삼양로38라길 26  서울특별시 강북구 미아동
4  28500.0         남광하이빌A동    도봉로41길 21  서울특별시 강북구 미아동",29796
1130510300,9,29.93,5,2019,"   deposit      building          road           dong
0  20600.0  예움하우스(24-13)    노해로9길 42-5  서울특별시 강북구 수유동
1  24300.0          파크리움  노해로33길 70-10  서울특별시 강북구 수유동
2  24300.0          파크리움  노해로33길 70-10  서울특별시 강북구 수유동
3  18000.0       마루스위트30     삼양로 510-5  서울특별시 강북구 수유동
4  23500.0         가람빌리지    삼양로77가길 22  서울특별시 강북구 수유동",21346
1130510100,8,25.21,2,2013,"   deposit       building         road           dong
0  15000.0          금강에뜨레  삼양로63길 13-4  서울특별시 강북구 미아동
1  15000.0  블루빌(791-1227)  삼양로63가길 7-9  서울특별시 강북구 미아동
2  15000.0  블루빌(791-1227)  삼양로63가길 7-9  서울특별시 강북구 미아동
3  16000.0  블루빌(791-1227)  삼양로63가길 7-9  서울특별시 강북구 미아동
4  26000.0          한스애비뉴  도봉로39길 51-6  서울특별시 강북구 미아동",10665
1130510200,13,43.9,3,2012,"   deposit building           road          dong
0  13000.0      다솔빌    한천로124나길 36  서울특별시 강북구 번동
1  13000.0       세명     한천로 926-10  서울특별시 강북구 번동
2  11000.0  디에이치씨앤빌     한천로132길 79  서울특별시 강북구 번동
3  27500.0      라움빌      도봉로98길 28  서울특별시 강북구 번동
4  17000.0    드림하이빌  한천로124나길 60-8  서울특별시 강북구 번동",13956
1130510100,8,24.96,4,2012,"   deposit    building         road           dong
0  15000.0       금강에뜨레  삼양로63길 13-4  서울특별시 강북구 미아동
1   8000.0  (791-2798)  솔매로22길 42-1  서울특별시 강북구 미아동
2  20000.0       문이빌라트   삼양로68가길 11  서울특별시 강북구 미아동
3  17000.0     진성힐스테이트  솔샘로47나길 6-8  서울특별시 강북구 미아동
4   7000.0       로뎀빌리지    도봉로31길 11  서울특별시 강북구 미아동",9595
1130510100,21,68.8,1,2006,"   deposit          building         road           dong
0  18000.0             은혜빌리지    삼양로69길 27  서울특별시 강북구 미아동
1  12000.0  삼각산빌리지(791-1560)    솔매로10길 15  서울특별시 강북구 미아동
2  18000.0            오봉빌라7차  삼양로68길 25-3  서울특별시 강북구 미아동
3  18000.0            오봉빌라7차  삼양로68길 25-3  서울특별시 강북구 미아동
4   3500.0             삼성쉐르빌     솔매로 21-1  서울특별시 강북구 미아동",14640
1130510100,21,68.67,1,2003,"   deposit building          road           dong
0  18000.0   오봉빌라7차   삼양로68길 25-3  서울특별시 강북구 미아동
1  18000.0   오봉빌라7차   삼양로68길 25-3  서울특별시 강북구 미아동
2  16000.0       청암  도봉로45길 84-16  서울특별시 강북구 미아동
3  18000.0    청운그린빌      오현로10길 4  서울특별시 강북구 미아동
4  18000.0    은혜빌리지     삼양로69길 27  서울특별시 강북구 미아동",16971
1130510300,9,29.685,5,2013,"   deposit  building           road           dong
0  13000.0     수유그린빌       노해로7길 51  서울특별시 강북구 수유동
1  17500.0     진영토담빌     한천로140길 84  서울특별시 강북구 수유동
2   7500.0  (563-37)  4.19로11길 8-10  서울특별시 강북구 수유동
3  14500.0   하나아이파크빌   인수봉로55길 21-8  서울특별시 강북구 수유동
4  17000.0   하나아이파크빌  인수봉로55길 21-14  서울특별시 강북구 수유동",11719
1130510300,15,48.42,3,2013,"   deposit building           road           dong
0  13000.0    성원하이츠     인수봉로55가길 7  서울특별시 강북구 수유동
1  17600.0      행루즈      도봉로97길 22  서울특별시 강북구 수유동
2  16800.0      행루즈      도봉로97길 22  서울특별시 강북구 수유동
3  18100.0    청호캐스빌      노해로27길 53  서울특별시 강북구 수유동
4  15500.0     민정빌라  삼양로123길 46-21  서울특별시 강북구 수유동",14853.26333
1130510100,16,53.95,2,2016,"   deposit   building           road           dong
0  20000.0      금강에뜨레    삼양로63길 13-4  서울특별시 강북구 미아동
1  21000.0      중앙홈타운    인수봉로20나길 56  서울특별시 강북구 미아동
2  19000.0  (734-145)    삼양로38길 21-4  서울특별시 강북구 미아동
3  32500.0    성훈팰리스B동      도봉로31길 21  서울특별시 강북구 미아동
4  26000.0      히람팰리스  오패산로30길 18-13  서울특별시 강북구 미아동",20776
1130510300,11,34.83,5,2017,"   deposit   building           road           dong
0  17700.0      노블레스2   노해로32길 13-12  서울특별시 강북구 수유동
1  20800.0      청담하이빌   인수봉로82길 13-5  서울특별시 강북구 수유동
2  17000.0  (252-223)      노해로26길 17  서울특별시 강북구 수유동
3  21200.0      양지쉐르빌     인수봉로55길 41  서울특별시 강북구 수유동
4  17500.0      힐링하우스  인수봉로55길 27-12  서울특별시 강북구 수유동",18726
1130510300,13,42.8,2,1996,"   deposit          building         road           dong
0  13000.0          (189-25)  한천로139가길 54  서울특별시 강북구 수유동
1   8000.0  광진하이츠빌라(252-102)     노해로27길 7  서울특별시 강북구 수유동
2  11000.0         성신주택(9-5)     노해로9길 15  서울특별시 강북구 수유동
3  11500.0          신건영빌리지7동   삼양로130길 17  서울특별시 강북구 수유동
4  12500.0              초원빌라     인수봉로 108  서울특별시 강북구 수유동",11503
1130510300,9,29.87,3,2016,"   deposit      building         road           dong
0  16500.0         동화씨티빌    도봉로97길 34  서울특별시 강북구 수유동
1  14000.0         그랜드캐슬    인수봉로51길 4  서울특별시 강북구 수유동
2  21900.0  동아쉐르빌(480-3)  삼양로77길 36-8  서울특별시 강북구 수유동
3  10500.0        마루솔하이빌   인수봉로84길 37  서울특별시 강북구 수유동
4  18000.0        참하우스토리   인수봉로61길 18  서울특별시 강북구 수유동",16113
1130510300,9,28.16,4,1993,"   deposit      building           road           dong
0  12000.0  우성빌라(252-46)      노해로27길 37  서울특별시 강북구 수유동
1   9000.0   그린하이츠빌라5차A동  삼양로111길 18-24  서울특별시 강북구 수유동
2  12000.0          승한주택    한천로140가길 29  서울특별시 강북구 수유동
3   7000.0         들장미빌라     인수봉로28길 29  서울특별시 강북구 수유동
4   6000.0          천협빌라    인수봉로58길 9-7  서울특별시 강북구 수유동",7786
