코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1117011800,9,29.82,3,2019,"   deposit building          road             dong
0  20000.0  01월 28일  효창원로12길 27-4  서울특별시 용산구 원효로4가
1  20000.0      대로빌  원효로35가길 12-6  서울특별시 용산구 원효로3가
2  23500.0   효창신비빌A    효창원로76길 31    서울특별시 용산구 효창동
3  21000.0      대로빌  원효로35가길 12-6  서울특별시 용산구 원효로3가
4  23200.0   효창신비빌A    효창원로76길 31    서울특별시 용산구 효창동",19990
1117010900,8,26.2,4,2019,"   deposit building           road             dong
0  24000.0   미샹보르2차     청파로47나길 94  서울특별시 용산구 청파동1가
1  20500.0   청파퍼스트빌  효창원로86라길 17-6  서울특별시 용산구 청파동1가
2  25000.0      라온빌      청파로71길 19  서울특별시 용산구 청파동1가
3  22000.0   청파퍼스트빌  효창원로86라길 17-6  서울특별시 용산구 청파동1가
4  20000.0      라온빌      청파로71길 19  서울특별시 용산구 청파동1가",23070
1117011900,8,26.19,3,2016,"   deposit   building         road           dong
0  23000.0     효창밸류B동   효창원로66길 20  서울특별시 용산구 효창동
1  21000.0     127-10  효창원로69가길 30  서울특별시 용산구 효창동
2  22000.0  두손BESTIUM  효창원로69가길 29  서울특별시 용산구 효창동
3  23100.0  두손BESTIUM  효창원로69가길 29  서울특별시 용산구 효창동
4  21000.0    (5-199)    백범로45길 24  서울특별시 용산구 효창동",21445
1117012100,8,25.43,5,2017,"   deposit     building          road           dong
0  18000.0       진흥펠리체I  원효로53가길 15-7  서울특별시 용산구 용문동
1  16500.0     라온빌(미공시)  효창원로48길 20-4  서울특별시 용산구 용문동
2  13000.0  미래위너스(8-34)    효창원로54길 20  서울특별시 용산구 용문동
3  13000.0  미래위너스(8-34)    효창원로54길 20  서울특별시 용산구 용문동
4  23000.0      美.샹보르-1     효창원로37길 9  서울특별시 용산구 용문동",20486
1117012100,8,27.99,2,2016,"   deposit     building          road           dong
0  22000.0     라온빌(미공시)  효창원로48길 20-4  서울특별시 용산구 용문동
1  24000.0          라온빌    원효로53가길 23  서울특별시 용산구 용문동
2  21000.0  삼성효창빌(2-12)  백범로74길 17-14  서울특별시 용산구 용문동
3  23000.0          뉴캐슬  효창원로48길 20-5  서울특별시 용산구 용문동
4  24000.0          뉴캐슬  효창원로48길 20-5  서울특별시 용산구 용문동",22586.66667
1117011100,9,28.57,6,2017,"   deposit building         road             dong
0  22500.0     벨류나동  원효로77가길 7-1  서울특별시 용산구 원효로1가
1  23000.0      용림빌    백범로79길 22  서울특별시 용산구 원효로1가
2  22700.0      밸류B  원효로77가길 7-3  서울특별시 용산구 원효로1가
3  23000.0      대로빌   원효로53가길 24  서울특별시 용산구 원효로2가
4  22000.0      대로빌   원효로53가길 24  서울특별시 용산구 원효로2가",23061
1117011900,9,29.92,4,2017,"   deposit       building         road           dong
0  24000.0  금강프라임빌(5-254)  효창원로 145-25  서울특별시 용산구 효창동
1  24000.0  금강프라임빌(5-254)  효창원로 145-25  서울특별시 용산구 효창동
2  22000.0          5-313    백범로79길 57  서울특별시 용산구 효창동
3  25000.0    대명팰리스(5-88)   효창원로66길 34  서울특별시 용산구 효창동
4  23000.0    대명팰리스(5-88)   효창원로66길 34  서울특별시 용산구 효창동",24070
1117010100,14,45.28,3,1998,"   deposit building          road             dong
0  12500.0  함주빌라(A)  후암로48길 38-12    서울특별시 용산구 후암동
1  16000.0  (1-612)     신흥로22길 16  서울특별시 용산구 용산동2가
2  16500.0     넥스빌1  신흥로36가길 24-6  서울특별시 용산구 용산동2가
3  16500.0       선우     신흥로20길 29  서울특별시 용산구 용산동2가
4  16000.0     그린빌라   두텁바위로38길 42    서울특별시 용산구 후암동",14355
1117012500,6,21.2,2,2012,"   deposit         building           road             dong
0  25000.0         (216-17)  한강대로62길 45-20  서울특별시 용산구 한강로1가
1  11000.0             에벤에셀        효창원로 77    서울특별시 용산구 용문동
2  13000.0         (216-15)  한강대로62길 45-10  서울특별시 용산구 한강로1가
3  19425.0  한강로Avenue(52-1)     한강대로50길 33  서울특별시 용산구 한강로2가
4  19000.0         (216-12)  한강대로62길 45-31  서울특별시 용산구 한강로1가",12867.33333
1117010900,6,19.26,4,2015,"   deposit  building        road             dong
0  23500.0  미래스위트하우스  청파로47나길 62  서울특별시 용산구 청파동1가
1  12000.0     89-67  효창원로86다길 5  서울특별시 용산구 청파동1가
2  12000.0     89-67  효창원로86다길 5  서울특별시 용산구 청파동1가
3  14000.0    미샹보르2차  청파로47나길 94  서울특별시 용산구 청파동1가
4  25000.0       라온빌   청파로71길 19  서울특별시 용산구 청파동1가",14648.5
