코드,평수,전용면적(㎡),층,건축년도,predicted,predicted price
1159010700,21,69.84,4,2004,"   deposit       building          road           dong
0  15000.0          벧엘아트빌  사당로16자길 15-3  서울특별시 동작구 사당동
1  33000.0      (1017-22)  동작대로13길 23-2  서울특별시 동작구 사당동
2  22000.0  한솔하이빌(300-53)    사당로16자길 43  서울특별시 동작구 사당동
3  12000.0            LG빌     사당로2차길 56  서울특별시 동작구 사당동
4  32000.0          동원빌리지  남부순환로267길 21  서울특별시 동작구 사당동",19124.16667
1159010200,10,31.91,-1,1996,"   deposit       building         road           dong
0   5000.0           우성빌라  장승배기로9나길 16  서울특별시 동작구 상도동
1   6000.0  스위트빌라(214-30)   양녕로22라길 24  서울특별시 동작구 상도동
2   5000.0           원앙빌라    양녕로26길 74  서울특별시 동작구 상도동
3  14000.0           우주빌A    성대로21길 38  서울특별시 동작구 상도동
4  10500.0           숭전빌라   상도로62가길 26  서울특별시 동작구 상도동",9340
1159010900,9,29.87,2,2014,"   deposit building          road            dong
0  16300.0      에덴빌  신대방14가길 62-4  서울특별시 동작구 신대방동
1  18000.0      수연빌     신대방6길 8-1  서울특별시 동작구 신대방동
2  16000.0      수연빌     신대방6길 8-1  서울특별시 동작구 신대방동
3  25500.0    주원베르빌      신대방3길 46  서울특별시 동작구 신대방동
4  17000.0    혜림하이빌     신대방16길 12  서울특별시 동작구 신대방동",19949
1159010200,22,74.33,4,2002,"   deposit building        road           dong
0  27900.0    동산럭스빌  국사봉6길 60-9  서울특별시 동작구 상도동
1  26000.0     LK주택   양녕로20길 96  서울특별시 동작구 상도동
2  27000.0     정다운빌   상도로24길 28  서울특별시 동작구 상도동
3  21000.0    상도그린빌  상도로34다길 21  서울특별시 동작구 상도동
4  20000.0     명성빌라  양녕로25길 2-8  서울특별시 동작구 상도동",27313
1159010700,12,40.84,2,2010,"   deposit        building           road           dong
0  25000.0   한백리츠빌(446-22)  남부순환로257가길 11  서울특별시 동작구 사당동
1  17000.0    루이스빌(208-16)      사당로 157-6  서울특별시 동작구 사당동
2  18000.0  효성아트빌(190-159)      사당로2마길 66  서울특별시 동작구 사당동
3  28800.0          더하우스7차     사당로16라길 29  서울특별시 동작구 사당동
4  25700.0            그라시아   사당로26길 106-7  서울특별시 동작구 사당동",20770
1159010700,17,56.55,1,1983,"   deposit building          road           dong
0  19000.0      서안B    사당로27길 243  서울특별시 동작구 사당동
1  20000.0       성락    사당로27길 247  서울특별시 동작구 사당동
2  16000.0       대일     사당로8가길 27  서울특별시 동작구 사당동
3   4000.0      우창B     사당로23아길 7  서울특별시 동작구 사당동
4  14000.0      우창A  사당로23사길 16-5  서울특별시 동작구 사당동",17048
1159010300,10,32.77,1,1996,"   deposit          building           road           dong
0  11000.0           현대하이츠빌라      상도로50길 11  서울특별시 동작구 상도동
1   9500.0              청도주택    국사봉10길 45-2  서울특별시 동작구 상도동
2  15000.0  해태빌라(나동)(196-92)  장승배기로9다길 17-3  서울특별시 동작구 상도동
3  16000.0             유진하이츠      양녕로20길 48  서울특별시 동작구 상도동
4  15000.0             무지개빌라     상도로47나길 29  서울특별시 동작구 상도동",12770
1159010700,13,41.69,4,2017,"   deposit    building           road           dong
0  24000.0        에덴-3    남부순환로263길 6  서울특별시 동작구 사당동
1  25000.0      64-140     동작대로33길 56  서울특별시 동작구 사당동
2  32000.0     (419-1)  남부순환로257가길 49  서울특별시 동작구 사당동
3  35000.0  늘푸른숲(가,나동)   남부순환로257가길 7  서울특별시 동작구 사당동
4  30000.0  남성역하늘채 아파트      사당로14길 25  서울특별시 동작구 사당동",28055
1159010200,8,27.68,3,2017,"   deposit  building        road           dong
0  15000.0       상도힐   양녕로36길 22  서울특별시 동작구 상도동
1  22200.0   이에스하임6차    성대로31길 7  서울특별시 동작구 상도동
2  21500.0  대흥미소가24차   양녕로25길 23  서울특별시 동작구 상도동
3  18000.0       예그린  양녕로22바길 45  서울특별시 동작구 상도동
4  22700.0   이에스하임6차    성대로31길 7  서울특별시 동작구 상도동",18080
1159010300,4,13.26,4,2012,"   deposit    building          road           dong
0   6500.0          우주    상도로15길 112  서울특별시 동작구 상도동
1  11000.0       드림펠리스   상도로19길 47-7  서울특별시 동작구 상도동
2  14000.0       해피하우스    성대로5길 40-2  서울특별시 동작구 상도동
3   8000.0        한강힐스  노량진로26길 51-8   서울특별시 동작구 본동
4   8500.0  블루빌(492-7)      상도로58길 5  서울특별시 동작구 상도동",9956.75
1159010200,10,34.17,4,2015,"   deposit    building         road           dong
0  18000.0         가연빌   양녕로25다길 15  서울특별시 동작구 상도동
1  21000.0  동원베스트타운에이동     상도로49길 7  서울특별시 동작구 상도동
2  23500.0     동원베스트타운    상도로37길 55  서울특별시 동작구 상도동
3  16200.0       태경빌4차  국사봉10길 62-4  서울특별시 동작구 상도동
4  25000.0       신한쉐르빌    성대로29길 45  서울특별시 동작구 상도동",19678
