코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1168010600,20,65.74,3,2003,"   deposit  building          road           dong
0  34000.0  (919-14)  선릉로72길 26-16  서울특별시 강남구 대치동
1  34000.0  (919-14)  선릉로72길 26-16  서울특별시 강남구 대치동
2  35000.0  (916-69)   삼성로69길 47-4  서울특별시 강남구 대치동
3  43000.0        동산     역삼로74길 20  서울특별시 강남구 대치동
4  35000.0  (934-26)     도곡로69길 14  서울특별시 강남구 대치동",33580
1168010400,23,75.33,2,2008,"   deposit  building          road           dong
0  45000.0    베네세하우스     개포로32길 19  서울특별시 강남구 개포동
1  32000.0     구재옥건물    선릉로146길 31  서울특별시 강남구 청담동
2  49000.0     아셈빌리지   봉은사로73길 3-6  서울특별시 강남구 삼성동
3  35000.0  (926-14)  삼성로63길 48-36  서울특별시 강남구 대치동
4  38000.0    다원하모니빌     개포로22길 50  서울특별시 강남구 개포동",37373.33333
1168010300,8,27.22,5,2017,"   deposit building        road           dong
0  27000.0    YH빌리지   논현로20길 22  서울특별시 강남구 개포동
1  26000.0   1171-2  논현로6길 18-8  서울특별시 강남구 개포동
2  28000.0    YH빌리지   논현로20길 22  서울특별시 강남구 개포동
3  30000.0    휴먼하우징   개포로34길 19  서울특별시 강남구 개포동
4  30000.0    휴먼하우징   개포로34길 19  서울특별시 강남구 개포동",25839.5
1168011100,37,122.8577,2,2016,"    deposit     building    road           dong
0  110000.0  강남 효성해링턴 코트  자곡로 36  서울특별시 강남구 세곡동
1  100000.0  강남 효성해링턴 코트  자곡로 36  서울특별시 강남구 세곡동
2   73500.0  강남 효성해링턴 코트  자곡로 36  서울특별시 강남구 세곡동
3   75000.0  강남 효성해링턴 코트  자곡로 36  서울특별시 강남구 세곡동
4   85000.0  강남 효성해링턴 코트  자곡로 36  서울특별시 강남구 세곡동",103205
1168010600,18,58.19,5,2003,"   deposit  building         road           dong
0  24000.0  (959-29)   삼성로76길 5-6  서울특별시 강남구 대치동
1  39000.0    오페라하우스  선릉로76길 5-14  서울특별시 강남구 대치동
2  31000.0    한스타운B동  역삼로81길 18-2  서울특별시 강남구 대치동
3  37000.0     예인쉐르빌    삼성로67길 27  서울특별시 강남구 대치동
4  34000.0     에오스 빌    역삼로70길 21  서울특별시 강남구 대치동",28690
1168011800,6,20.94,3,2013,"   deposit    building          road           dong
0  16000.0    (552-17)    강남대로58길 53  서울특별시 강남구 도곡동
1  10000.0        희망빌딩     논현로36길 22  서울특별시 강남구 도곡동
2   8500.0  도곡동도시형생활주택     논현로58길 27  서울특별시 강남구 도곡동
3   8500.0  도곡동도시형생활주택     논현로58길 27  서울특별시 강남구 도곡동
4  10000.0    (895-33)  남부순환로365길 32  서울특별시 강남구 도곡동",15591
1168010100,22,72.06,2,1982,"   deposit         building         road           dong
0  41000.0  한양빌라 나동(121-42)   도산대로85길 23  서울특별시 강남구 청담동
1  28000.0          (162-6)  선릉로10길 22-7  서울특별시 강남구 개포동
2  30000.0            주택9세대    개포로24길 22  서울특별시 강남구 개포동
3  25000.0    금강산빌라(834-70)  역삼로12길 17-2  서울특별시 강남구 역삼동
4  30000.0             미학빌라   삼성로140길 39  서울특별시 강남구 청담동",31466.52333
1168010400,16,52.65,2,1986,"   deposit       building         road           dong
0  25000.0          주택9세대    개포로24길 22  서울특별시 강남구 개포동
1  25000.0        칠성빌라 가동     논현로4길 56  서울특별시 강남구 개포동
2  12000.0  청담실버타운(13-41)   도산대로72길 31  서울특별시 강남구 청담동
3  28000.0        (162-6)  선릉로10길 22-7  서울특별시 강남구 개포동
4  18000.0         아주빌라라동    개포로21길 28  서울특별시 강남구 개포동",23619.57143
1168010800,5,15.54,4,2016,"   deposit building           road           dong
0  15000.0   그린빌에이동     선릉로119길 35  서울특별시 강남구 논현동
1  16500.0   논현밸류II     언주로136길 32  서울특별시 강남구 논현동
2  28500.0    동광팰리스  도산대로54길 48-11  서울특별시 강남구 논현동
3  13000.0    리안빌리지    강남대로114길 30  서울특별시 강남구 논현동
4  10000.0  (16-38)    도산대로4길 18-5  서울특별시 강남구 논현동",16383
1168010700,59,194.15,3,1981,"    deposit       building        road           dong
0   80000.0     진흥빌라(64-2)   학동로81길 24  서울특별시 강남구 청담동
1   95000.0     진흥빌라(64-2)   학동로81길 24  서울특별시 강남구 청담동
2  105000.0  청담하이츠(115-18)  압구정로75길 19  서울특별시 강남구 청담동
3   60000.0       효성빌라(63)     삼성로 740  서울특별시 강남구 청담동
4  127000.0      현대청담동연립주택  압구정로75길 33  서울특별시 강남구 청담동",79152
1168010300,17,55.37,4,1992,"   deposit        building          road           dong
0   1000.0       정화 하이츠 빌라  논현로18길 22-13  서울특별시 강남구 개포동
1  11000.0         일류하이츠빌라      논현로8길 23  서울특별시 강남구 개포동
2  10000.0         (170-5)     선릉로14길 14  서울특별시 강남구 개포동
3  38000.0            은성주택     언주로69길 30  서울특별시 강남구 역삼동
4  19000.0  뉴 아트빌라(1182-4)    논현로8길 66-9  서울특별시 강남구 개포동",18203
1168010800,15,50.91,3,1992,"   deposit       building         road           dong
0  24000.0   남강빌라(183-22)  강남대로116길 11  서울특별시 강남구 논현동
1  23000.0  논현빌리지(262-14)  학동로42길 57-4  서울특별시 강남구 논현동
2  27000.0          대림빌라B   영동대로71길 38  서울특별시 강남구 대치동
3  28000.0           파인빌라    삼성로67길 40  서울특별시 강남구 대치동
4  30000.0             주택    삼성로67길 42  서울특별시 강남구 대치동",23295
1168011800,20,66.99,2,2000,"   deposit  building          road           dong
0  31000.0       좋은집   논현로26길 24-5  서울특별시 강남구 도곡동
1  32000.0  (947-12)      도곡로2길 45  서울특별시 강남구 도곡동
2  30000.0      다솜빌라  남부순환로361길 12  서울특별시 강남구 도곡동
3  38500.0      다솜빌라  남부순환로361길 12  서울특별시 강남구 도곡동
4  30000.0   현대탑스빌B동     논현로34길 12  서울특별시 강남구 도곡동",34386
